"alpha","eta","delta","compatible","minimum_canonical_coordinate","bootstrap_compatibility_fraction","minimum_coordinate_ci_lower","minimum_coordinate_ci_upper","compatibility_inference"
0,0,0,TRUE,0.00106922909563066,1,-0.000185071763244045,0.00213845819126131,"indeterminate"
0.0025,0,0,TRUE,0.000928243004465944,0.909,-0.000284505343610622,0.0020591189552715,"indeterminate"
0.005,0,0,TRUE,0.000785109916989078,0.824,-0.000402581491763087,0.00200234777464463,"indeterminate"
0.01,0,0,TRUE,0.00049220354725549,0.588,-0.000648500911527757,0.00192190621755242,"indeterminate"
0.02,0,0,FALSE,-0.000229528396735574,0.17,-0.00131052962483667,0.00206609417858755,"indeterminate"
0.05,0,0,FALSE,-0.00471411844634747,0,-0.00703610875827587,0.00136869209181672,"indeterminate"
0,0.0025,0,TRUE,0.00104514190576266,0.93,-0.000181828980410157,0.00211898384129572,"indeterminate"
0.0025,0.0025,0,TRUE,0.000904883948636209,0.897,-0.000305107773988078,0.00203842568273185,"indeterminate"
0.005,0.0025,0,TRUE,0.000762490083533214,0.812,-0.000421144583373695,0.00198485185677697,"indeterminate"
0.01,0.0025,0,TRUE,0.000471096452368838,0.569,-0.000670072695959447,0.00191702195334338,"indeterminate"
0.02,0.0025,0,FALSE,-0.000262650530388978,0.16,-0.00135871978755038,0.00203366562426016,"indeterminate"
0.05,0.0025,0,FALSE,-0.00474178742338478,0,-0.00706499009882336,0.00136145488878658,"indeterminate"
0,0.005,0,TRUE,0.00102068790589667,0.93,-0.000202347149693186,0.00209921292762507,"indeterminate"
0.0025,0.005,0,TRUE,0.000881169171144092,0.887,-0.000317429747920943,0.00202808469636787,"indeterminate"
0.005,0.005,0,TRUE,0.000739525785608479,0.792,-0.000434837236764425,0.00196699387299427,"indeterminate"
0.01,0.005,0,TRUE,0.000449667929641273,0.54,-0.000680747997288266,0.00192187301629014,"indeterminate"
0.02,0.005,0,FALSE,-0.000296277062016798,0.149,-0.001403653892893,0.00200085319681587,"indeterminate"
0.05,0.005,0,FALSE,-0.00476987775540237,0,-0.00710647918795161,0.00135410747454279,"indeterminate"
0,0.01,0,TRUE,0.000970645442253383,0.922,-0.000246937925578888,0.00206528160874198,"indeterminate"
0.0025,0.01,0,TRUE,0.000832639446070017,0.858,-0.000356097895171648,0.00199068652686659,"indeterminate"
0.005,0.01,0,TRUE,0.000692531835731574,0.759,-0.000465370953498866,0.00193091335826269,"indeterminate"
0.01,0.01,0,TRUE,0.000402673268119953,0.499,-0.000698681862241796,0.0019006744128397,"indeterminate"
0.02,0.01,0,FALSE,-0.000365090119007751,0.134,-0.0014952354293275,0.00194205567311207,"indeterminate"
0.05,0.01,0,FALSE,-0.0048273615791703,0,-0.00715470311090354,0.00133907178663152,"indeterminate"
0,0.02,0,TRUE,0.000865769215256283,0.875,-0.000345228141097383,0.00200626071348683,"indeterminate"
0.0025,0.02,0,TRUE,0.00073093353288286,0.778,-0.000445786580256803,0.00193564044498504,"indeterminate"
0.005,0.02,0,TRUE,0.000594044515244868,0.675,-0.00052745487525727,0.00188004191235521,"indeterminate"
0.01,0.02,0,TRUE,0.000257046135866294,0.423,-0.000846801966093279,0.00177225684844322,"indeterminate"
0.02,0.02,0,FALSE,-0.000509304717169641,0.108,-0.00162928393933557,0.00181944825441745,"indeterminate"
0.05,0.02,0,FALSE,-0.00494783299706694,0,-0.007327087683692,0.00132729057247549,"indeterminate"
0,0.05,0,TRUE,0.000474311466410931,0.575,-0.000736910078584958,0.00207510022401965,"indeterminate"
0.0025,0.05,0,TRUE,0.000299412378769368,0.475,-0.000892264859653513,0.0018593850057684,"indeterminate"
0.005,0.05,0,TRUE,0.000121849853244938,0.387,-0.00109043968495638,0.00171194389945142,"indeterminate"
0.01,0.05,0,FALSE,-0.000241512634555055,0.235,-0.00148223281329122,0.00155044170318367,"indeterminate"
0.02,0.05,0,FALSE,-0.0010030276355827,0.049,-0.00230522653544923,0.00151399463900951,"indeterminate"
0.05,0.05,0,FALSE,-0.00536027043951308,0,-0.00788272663121197,0.00119968211517175,"indeterminate"
0,0,0.0025,TRUE,0.000896908187839795,0.914,-0.000378094861916986,0.00197875381934579,"indeterminate"
0.0025,0,0.0025,TRUE,0.000755160677449697,0.841,-0.000489679002839971,0.00186711281786627,"indeterminate"
0.005,0,0.0025,TRUE,0.000611254575530816,0.737,-0.000602878301497157,0.00179782360000693,"indeterminate"
0.01,0,0.0025,TRUE,0.000316766315418466,0.472,-0.00085464825679184,0.0017321059047556,"indeterminate"
0.02,0,0.0025,FALSE,-0.000388094167922836,0.117,-0.00152626304667803,0.00193352852562943,"indeterminate"
0.05,0,0.0025,FALSE,-0.00490329332176788,0,-0.00727815394908263,0.00114297277310043,"indeterminate"
0,0.0025,0.0025,TRUE,0.000873020113680651,0.898,-0.000395460301558725,0.00196235684455474,"indeterminate"
0.0025,0.0025,0.0025,TRUE,0.000732005736272498,0.828,-0.000502789884718878,0.00184946781943346,"indeterminate"
0.005,0.0025,0.0025,TRUE,0.000588843931797216,0.717,-0.000621007789735381,0.00178256362848666,"indeterminate"
0.01,0.0025,0.0025,TRUE,0.000295878795834912,0.451,-0.000864315185617654,0.00171801495132139,"indeterminate"
0.02,0.0025,0.0025,FALSE,-0.000420554173462171,0.116,-0.00155643008166413,0.0019024189131301,"indeterminate"
0.05,0.0025,0.0025,FALSE,-0.00493113111394035,0,-0.00731047369847072,0.00115202055335115,"indeterminate"
0,0.005,0.0025,TRUE,0.000848768261742433,0.885,-0.000413090189519882,0.00194652194809847,"indeterminate"
0.0025,0.005,0.0025,TRUE,0.000708498181777879,0.813,-0.000518297762525113,0.00183758436465378,"indeterminate"
0.005,0.005,0.0025,TRUE,0.000566092009225033,0.693,-0.000640127719645524,0.0017740358346493,"indeterminate"
0.01,0.005,0.0025,TRUE,0.000274673192196786,0.437,-0.000868860236628588,0.00170903368603919,"indeterminate"
0.02,0.005,0.0025,FALSE,-0.000453508493806674,0.113,-0.0015870565131221,0.0018803061621193,"indeterminate"
0.05,0.005,0.0025,FALSE,-0.00495939283188195,0,-0.00733368170538713,0.00116398959897886,"indeterminate"
0,0.01,0.0025,TRUE,0.000799139471951337,0.856,-0.000449167846842455,0.00190784991133805,"indeterminate"
0.0025,0.01,0.0025,TRUE,0.00066039251613683,0.77,-0.000558876743219164,0.00180107099738069,"indeterminate"
0.005,0.01,0.0025,TRUE,0.00051953266251804,0.649,-0.000668156616058552,0.00176092136478956,"indeterminate"
0.01,0.01,0.0025,TRUE,0.000231278219803302,0.404,-0.000887105624429577,0.00169960777317583,"indeterminate"
0.02,0.01,0.0025,FALSE,-0.000520945943171456,0.103,-0.0016600882363105,0.00180928609356418,"indeterminate"
0.05,0.01,0.0025,FALSE,-0.0050172273783913,0,-0.00739622700865142,0.00116957375734386,"indeterminate"
0,0.02,0.0025,TRUE,0.000695130199729573,0.787,-0.000531409597424998,0.00183843508121768,"indeterminate"
0.0025,0.02,0.0025,TRUE,0.0005595753232508,0.68,-0.000641226970925234,0.00176500044185828,"indeterminate"
0.005,0.02,0.0025,TRUE,0.00042195615931296,0.554,-0.000748016606083604,0.00171181935699269,"indeterminate"
0.01,0.02,0.0025,TRUE,0.000107769883096467,0.35,-0.00103165234804379,0.00164647093422038,"indeterminate"
0.02,0.02,0.0025,FALSE,-0.00066227761896786,0.077,-0.00185763302389674,0.00167245398858711,"indeterminate"
0.05,0.02,0.0025,FALSE,-0.00513843382160771,0,-0.00756243974925792,0.00117343210111367,"indeterminate"
0,0.05,0.0025,TRUE,0.000337893345540228,0.47,-0.000854438440260041,0.00190813445008807,"indeterminate"
0.0025,0.05,0.0025,TRUE,0.000162202833373174,0.399,-0.00104476568730485,0.00172325142537099,"indeterminate"
0.005,0.05,0.0025,FALSE,-1.61631688268812e-05,0.309,-0.00126031568049548,0.00159694298551503,"indeterminate"
0.01,0.05,0.0025,FALSE,-0.000381169884669261,0.187,-0.00167679724255782,0.00141312040423394,"indeterminate"
0.02,0.05,0.0025,FALSE,-0.00114613076787085,0.035,-0.0024410235834956,0.00134927597935034,"indeterminate"
0.05,0.05,0.0025,FALSE,-0.00555338764485448,0,-0.00813795346715568,0.00106561045009238,"indeterminate"
0,0,0.005,TRUE,0.000721963103788159,0.832,-0.000552403161058747,0.00182926729617224,"indeterminate"
0.0025,0,0.005,TRUE,0.000579442578956046,0.728,-0.000678325072229137,0.00172557331312263,"indeterminate"
0.005,0,0.005,TRUE,0.000434751690801616,0.614,-0.000808245954033681,0.00165282562197236,"indeterminate"
0.01,0,0.005,TRUE,0.000138657450609304,0.385,-0.00105521711279019,0.00157131428193317,"indeterminate"
0.02,0,0.005,FALSE,-0.000549074646285537,0.086,-0.00171346018669292,0.00179877775657652,"indeterminate"
0.05,0,0.005,FALSE,-0.00509534903285459,0,-0.00751699714832179,0.000971944887398711,"indeterminate"
0,0.0025,0.005,TRUE,0.000698277177556785,0.819,-0.000570869268291608,0.00180287818968702,"indeterminate"
0.0025,0.0025,0.005,TRUE,0.000556494860776345,0.714,-0.000692978739453223,0.00170206236018956,"indeterminate"
0.005,0.0025,0.005,TRUE,0.000412553422420568,0.594,-0.000829530163191123,0.00163961272234366,"indeterminate"
0.01,0.0025,0.005,TRUE,0.000117992850115189,0.363,-0.0010711612761323,0.00154698700480242,"indeterminate"
0.02,0.0025,0.005,FALSE,-0.000580862440541555,0.081,-0.00176122698950357,0.00176921444264542,"indeterminate"
0.05,0.0025,0.005,FALSE,-0.00512335821095108,0,-0.00754030456062695,0.000963577326302765,"indeterminate"
0,0.005,0.005,TRUE,0.000674230551941177,0.799,-0.000589540086126714,0.00179368759451773,"indeterminate"
0.0025,0.005,0.005,TRUE,0.00053319768495939,0.694,-0.0007100565971115,0.00168474918671048,"indeterminate"
0.005,0.005,0.005,TRUE,0.000390017109343362,0.568,-0.00084924161102264,0.00162018961955227,"indeterminate"
0.01,0.005,0.005,TRUE,9.70135602734488e-05,0.348,-0.00108824032925549,0.00155027416908104,"indeterminate"
0.02,0.005,0.005,FALSE,-0.00061313431288269,0.079,-0.00179225346332461,0.00173881897568209,"indeterminate"
0.05,0.005,0.005,FALSE,-0.00515179392475463,0,-0.00756473296427157,0.000955082340418544,"indeterminate"
0,0.01,0.005,TRUE,0.000625021735604082,0.763,-0.000621019983526017,0.00177653760925839,"indeterminate"
