"alpha","eta","compatible_at_delta_zero","delta_max","bootstrap_median","ci_lower","ci_upper"
0,0,TRUE,0.0149293872662842,0.0111905972031899,0.00356576644153038,0.0298587745325685
0.0025,0,TRUE,0.0129827078337828,0.0101123171499733,0.000956627078551261,0.0249501037044219
0.005,0,TRUE,0.0109996499319843,0.0091123318544574,-0.00196066155484039,0.0212329364943957
0.01,0,TRUE,0.006920242119875,0.00780817196752553,-0.00956452298188804,0.0135192742415031
0.02,0,FALSE,NA,0.00511647070414086,NA,NA
0.05,0,FALSE,NA,NA,NA,NA
0,0.0025,TRUE,0.0146239598752366,0.0115257397183903,0.00303452346838698,0.0269343898801143
0.0025,0.0025,TRUE,0.0126828053943684,0.00993772420736617,0.00039325436549998,0.0244839507309597
0.005,0.0025,TRUE,0.0107053726069891,0.00883487666149732,-0.00249509009439648,0.0207690384506665
0.01,0.0025,TRUE,0.00663752659749498,0.00771236636606399,-0.010169616496406,0.0130183446756902
0.02,0.0025,FALSE,NA,0.00515214137723207,NA,NA
0.05,0.0025,FALSE,NA,NA,NA,NA
0,0.005,TRUE,0.0143125554711009,0.011139626204191,0.00254986623338501,0.0266493873471554
0.0025,0.005,TRUE,0.0123770335843742,0.00958595745974812,1.02303826520281e-05,0.0239965231484746
0.005,0.005,TRUE,0.0104053355231909,0.00872288023425304,-0.0030237288679489,0.0201392687196182
0.01,0.005,TRUE,0.00634927666768972,0.00767956280283563,-0.0105946829686007,0.0123851294542097
0.02,0.005,FALSE,NA,0.00552995943054754,NA,NA
0.05,0.005,FALSE,NA,NA,NA,NA
0,0.01,TRUE,0.0136710998184485,0.0105151762780064,0.00147939772234698,0.0260267832503238
0.0025,0.01,TRUE,0.0117471788804713,0.0090326248472837,-0.00111973961240313,0.0229831481099354
0.005,0.01,TRUE,0.00978729217689802,0.00819651043971616,-0.00384485090150284,0.0190087389831176
0.01,0.01,TRUE,0.00575551056085921,0.00762537193229031,-0.0116351081095219,0.0111527772007132
0.02,0.01,FALSE,NA,0.00594760707935094,NA,NA
0.05,0.01,FALSE,NA,NA,NA,NA
0,0.02,TRUE,0.0123081738178434,0.00946673196713095,-0.000622010564183498,0.0239045340378638
0.0025,0.02,TRUE,0.0104088950847411,0.00856235293288565,-0.00353083443271037,0.0202497369969542
0.005,0.02,TRUE,0.00847409777999461,0.00792232554454661,-0.00710270171249702,0.016600203349284
0.01,0.02,TRUE,0.0042816894783808,0.00731220879738987,-0.0146118534779072,0.00815554757172452
0.02,0.02,FALSE,NA,0.00514559536640871,NA,NA
0.05,0.02,FALSE,NA,NA,NA,NA
0,0.05,TRUE,0.0074424371191076,0.00775070438179238,-0.00916189086347019,0.0147175475875386
0.0025,0.05,TRUE,0.00540744214624684,0.00732431086984625,-0.0128405765105834,0.0104501860329817
0.005,0.05,TRUE,0.00220915701191443,0.00701912197980805,-0.0193505980316307,0.00386986998216977
0.01,0.05,FALSE,NA,0.00656028860158098,NA,NA
0.02,0.05,FALSE,NA,0.00614731080009324,NA,NA
0.05,0.05,FALSE,NA,NA,NA,NA
