"alpha","eta","delta","compatible","minimum_canonical_coordinate","negative_coordinate_count","observable_witness_bits","conditional_entropy_y_given_t_c_bits","sharp_lower_bits","sharp_upper_bits","lower_minus_witness_bits","compatible_boot_replicates"
0,0,0,TRUE,0.00106922909563066,0,0.0103713623683668,1.03809136530321,0.0103713623683669,1.03809136530321,8.67361737988404e-17,1000
0.0025,0,0,TRUE,0.000928243004465944,0,0.0103713623683668,1.03809136530321,0.0103713623683669,0.987676672969421,8.67361737988404e-17,909
0.005,0,0,TRUE,0.000785109916989078,0,0.0103713623683668,1.03809136530321,0.0103713623683669,0.947298229407304,8.67361737988404e-17,824
0.01,0,0,TRUE,0.00049220354725549,0,0.0103713623683668,1.03809136530321,0.0103713623683669,0.876650822761394,8.67361737988404e-17,588
0.02,0,0,FALSE,-0.000229528396735574,2,0.0103713623683668,1.03809136530321,NA,NA,NA,170
0.05,0,0,FALSE,-0.00471411844634747,6,0.0103713623683668,1.03809136530321,NA,NA,NA,0
0,0.0025,0,TRUE,0.00104514190576266,0,0.0103713623683668,1.03809136530321,0.0105419911128842,1.03809136530321,0.00017062874451735,930
0.0025,0.0025,0,TRUE,0.000904883948636209,0,0.0103713623683668,1.03809136530321,0.0105419911128842,0.987676672969421,0.00017062874451735,897
0.005,0.0025,0,TRUE,0.000762490083533214,0,0.0103713623683668,1.03809136530321,0.0105419911128842,0.947298229407304,0.00017062874451735,812
0.01,0.0025,0,TRUE,0.000471096452368838,0,0.0103713623683668,1.03809136530321,0.0105419911128842,0.876650822761394,0.00017062874451735,569
0.02,0.0025,0,FALSE,-0.000262650530388978,2,0.0103713623683668,1.03809136530321,NA,NA,NA,160
0.05,0.0025,0,FALSE,-0.00474178742338478,6,0.0103713623683668,1.03809136530321,NA,NA,NA,0
0,0.005,0,TRUE,0.00102068790589667,0,0.0103713623683668,1.03809136530321,0.0107171291831519,1.03809136530321,0.000345766814785091,930
