"alpha","eta","delta","compatible","minimum_canonical_coordinate","bootstrap_compatibility_fraction","minimum_coordinate_ci_lower","minimum_coordinate_ci_upper","compatibility_inference"
0,0,0,TRUE,0,1,0,0,"certified_compatible"
0.0025,0,0,FALSE,-4.4531267665891e-05,0,-4.82073319639243e-05,0.000200828466318441,"indeterminate"
0.005,0,0,FALSE,-8.9512346116286e-05,0,-9.35517654851015e-05,0.000404573044970626,"indeterminate"
0.01,0,0,FALSE,-0.00028319032786199,0,-0.00026778400898942,0.000741623660752461,"indeterminate"
0.02,0,0,FALSE,-0.00186079015830806,0,-0.00236209441738742,-0.000665624505524852,"rejected"
0.05,0,0,FALSE,-0.00736967958567855,0,-0.00812358178533057,-0.00583115450839626,"rejected"
0,0.0025,0,FALSE,-0.000238127814367373,0,-0.000274541807791333,-0.000149548243566221,"rejected"
0.0025,0.0025,0,FALSE,-0.00024498658579723,0,-0.000282047594733664,-0.000105963252217887,"rejected"
0.005,0.0025,0,FALSE,-0.00025191463774658,0,-0.000269683951079046,8.82278531133131e-05,"indeterminate"
0.01,0.0025,0,FALSE,-0.000289443952778417,0,-0.000237234152772753,0.000753832492654843,"indeterminate"
0.02,0.0025,0,FALSE,-0.00189105778001156,0,-0.00239977375304764,-0.000690995764072978,"rejected"
0.05,0.0025,0,FALSE,-0.00741934705451793,0,-0.0081773396330537,-0.00587337519136009,"rejected"
0,0.005,0,FALSE,-0.000481115380048367,0,-0.000552726724312411,-0.000272004351745861,"rejected"
0.0025,0.005,0,FALSE,-0.000487638075179834,0,-0.000561103181316863,-0.000250969500969085,"rejected"
0.005,0.005,0,FALSE,-0.00049422665612071,0,-0.00056740186909649,-0.000213493002010767,"rejected"
0.01,0.005,0,FALSE,-0.000507605509255754,0,-0.000504166493375789,0.000339459951609675,"indeterminate"
0.02,0.005,0,FALSE,-0.00192194310828045,0,-0.00244057161772242,-0.000724369258936625,"rejected"
0.05,0.005,0,FALSE,-0.00747002814517035,0,-0.00824695602412015,-0.00593019825988674,"rejected"
0,0.01,0,FALSE,-0.000982277234265415,0,-0.00112049003117084,-0.000485791126431476,"rejected"
0.0025,0.01,0,FALSE,-0.000988106772031454,0,-0.00112844370300062,-0.000471008761235828,"rejected"
0.005,0.01,0,FALSE,-0.000993995194017352,0,-0.00113315251792485,-0.00046727708244928,"rejected"
0.01,0.01,0,FALSE,-0.00100595229580504,0,-0.00112222764874682,-0.000402207487942639,"rejected"
0.02,0.01,0,FALSE,-0.00198564409783503,0,-0.00242023528529745,-0.00080931934991901,"rejected"
0.05,0.01,0,FALSE,-0.00757455789464097,0,-0.00838601610650051,-0.00603148298562984,"rejected"
0,0.02,0,FALSE,-0.00204996988020608,0,-0.00228230316938104,-0.000822486657071019,"rejected"
0.0025,0.02,0,FALSE,-0.00205432269141099,0,-0.00226220360700241,-0.000827370051824302,"rejected"
0.005,0.02,0,FALSE,-0.00205871947040585,0,-0.00225317306484452,-0.000832302773797316,"rejected"
0.01,0.02,0,FALSE,-0.00206764762367092,0,-0.00223429342335762,-0.000836595438536548,"rejected"
0.02,0.02,0,FALSE,-0.00222814282511364,0,-0.0023555067654888,-0.00103941968752129,"rejected"
0.05,0.02,0,FALSE,-0.00779725170873055,0,-0.00872090782914011,-0.00630052340087386,"rejected"
0,0.05,0,FALSE,-0.00673423205633836,0,-0.0074797135388053,-0.00373369147783822,"rejected"
0.0025,0.05,0,FALSE,-0.00676646356305705,0,-0.00754043827004131,-0.00378636197578885,"rejected"
0.005,0.05,0,FALSE,-0.00679902064055066,0,-0.00760140849712619,-0.00383956449897129,"rejected"
0.01,0.05,0,FALSE,-0.0068651314407673,0,-0.00771606274454069,-0.00394759819400504,"rejected"
0.02,0.05,0,FALSE,-0.00700148496621411,0,-0.00792754529424482,-0.00417041769001214,"rejected"
0.05,0.05,0,FALSE,-0.00859894943945304,0,-0.00935152347225576,-0.0068140349724019,"rejected"
0,0,0.0025,FALSE,-0.00048028599620716,0,-0.000928652681576886,5.77105124906059e-05,"indeterminate"
0.0025,0,0.0025,FALSE,-0.000484222389691399,0,-0.000884227850583779,5.78574660520805e-05,"indeterminate"
0.005,0,0.0025,FALSE,-0.000488198544725983,0,-0.00084972160952437,5.66458389501641e-05,"indeterminate"
0.01,0,0.0025,FALSE,-0.000496272573826823,0,-0.00055502410317988,0.000334133841335079,"indeterminate"
0.02,0,0.0025,FALSE,-0.00187346863597964,0,-0.00237822309022653,-0.000669672193288044,"rejected"
0.05,0,0.0025,FALSE,-0.00740295806546937,0,-0.0081496133632094,-0.0058488883423349,"rejected"
0,0.0025,0.0025,FALSE,-0.000507726381057297,0,-0.000790132470006483,3.2887812722491e-05,"indeterminate"
0.0025,0.0025,0.0025,FALSE,-0.000511744266815492,0,-0.00078595478145469,3.19558111316301e-05,"indeterminate"
0.005,0.0025,0.0025,FALSE,-0.000515802737278315,0,-0.000768751556889202,3.10599736056364e-05,"indeterminate"
0.01,0.0025,0.0025,FALSE,-0.00052404391709568,0,-0.000573712966716429,0.000303466484006256,"indeterminate"
0.02,0.0025,0.0025,FALSE,-0.00190390180111472,0,-0.00241751804208657,-0.000695173662193802,"rejected"
0.05,0.0025,0.0025,FALSE,-0.00745284037918728,0,-0.00821319169196264,-0.00588613654799081,"rejected"
0,0.005,0.0025,FALSE,-0.000535726773761518,0,-0.000617834596430287,1.06574112816074e-05,"indeterminate"
0.0025,0.005,0.0025,FALSE,-0.000539827814901301,0,-0.000616698393354692,1.04087283019877e-05,"indeterminate"
0.005,0.005,0.0025,FALSE,-0.000543970280699061,0,-0.000616511235938587,7.5888257870596e-06,"indeterminate"
0.01,0.005,0.0025,FALSE,-0.000552382022472064,0,-0.000555863336137968,0.000261923580118752,"indeterminate"
0.02,0.005,0.0025,FALSE,-0.00193495605125256,0,-0.00245844404414242,-0.000728589649997319,"rejected"
0.05,0.005,0.0025,FALSE,-0.0075037406993076,0,-0.00828461735711195,-0.00594269353749537,"rejected"
0,0.01,0.0025,FALSE,-0.000990898787428302,0,-0.00112010433405454,-0.000400190423500139,"rejected"
0.0025,0.01,0.0025,FALSE,-0.000996531091405784,0,-0.00112195166684887,-0.00040999812243979,"rejected"
0.005,0.01,0.0025,FALSE,-0.00100222028734263,0,-0.00112808922046659,-0.000418211004536831,"rejected"
0.01,0.01,0.0025,FALSE,-0.00101377283827563,0,-0.00112106834648196,-0.000369225676491673,"rejected"
0.02,0.01,0.0025,FALSE,-0.00199900544216185,0,-0.00243712755332941,-0.000814338581346503,"rejected"
0.05,0.01,0.0025,FALSE,-0.00760872260955577,0,-0.00842638116891835,-0.00604829031274565,"rejected"
0,0.02,0.0025,FALSE,-0.0020624369366427,0,-0.0022909197233256,-0.000747703103130928,"rejected"
0.0025,0.02,0.0025,FALSE,-0.00206660084130179,0,-0.00227627416765436,-0.00075233921795294,"rejected"
0.005,0.02,0.0025,FALSE,-0.00207080680560391,0,-0.00225844132791783,-0.000757022162217601,"rejected"
0.01,0.02,0.0025,FALSE,-0.0020793474882174,0,-0.00224004986748018,-0.000766531406183594,"rejected"
0.02,0.02,0.0025,FALSE,-0.00224047869189914,0,-0.00236516213648516,-0.000970632453818545,"rejected"
0.05,0.02,0.0025,FALSE,-0.00783237972269316,0,-0.00875464354063198,-0.00631018756901229,"rejected"
0,0.05,0.0025,FALSE,-0.00676903351699217,0,-0.00752005474587972,-0.00370029577117816,"rejected"
0.0025,0.05,0.0025,FALSE,-0.00680144139737159,0,-0.0075808648127652,-0.00375325161808472,"rejected"
0.005,0.05,0.0025,FALSE,-0.00683417663007808,0,-0.00764212862574875,-0.00380674237253578,"rejected"
0.01,0.05,0.0025,FALSE,-0.00690064919445145,0,-0.00774863280464344,-0.00391536135351295,"rejected"
0.02,0.05,0.0025,FALSE,-0.00703774885847154,0,-0.0079533813016562,-0.00413938800177835,"rejected"
0.05,0.05,0.0025,FALSE,-0.00863754532998776,0,-0.00938793641843954,-0.00682707994646024,"rejected"
0,0,0.005,FALSE,-0.00147096084650051,0,-0.00207324543758651,-0.000884575407580871,"rejected"
0.0025,0,0.005,FALSE,-0.00147609689234957,0,-0.00208154187956533,-0.000884590159236201,"rejected"
0.005,0,0.005,FALSE,-0.00148128481744963,0,-0.00208957771621056,-0.000886533825247436,"rejected"
0.01,0,0.005,FALSE,-0.00149181948168342,0,-0.00209145296913839,-0.00089101438707566,"rejected"
0.02,0,0.005,FALSE,-0.0018864058580935,0,-0.00227702063920644,-0.000673802486923954,"rejected"
0.05,0,0.005,FALSE,-0.00743691569790897,0,-0.00817569120895905,-0.00586705776287898,"rejected"
0,0.0025,0.005,FALSE,-0.00150381191202102,0,-0.00211572898904611,-0.000915095975745999,"rejected"
0.0025,0.0025,0.005,FALSE,-0.00150903392507167,0,-0.00212386627651128,-0.000917002759399725,"rejected"
0.005,0.0025,0.005,FALSE,-0.00151430868572889,0,-0.00213050366358795,-0.000919311986406257,"rejected"
0.01,0.0025,0.005,FALSE,-0.00152501967930835,0,-0.00212959520002113,-0.000922930616691414,"rejected"
0.02,0.0025,0.005,FALSE,-0.00191700794509753,0,-0.00231615997887976,-0.000699436823541583,"rejected"
0.05,0.0025,0.005,FALSE,-0.00748701724109479,0,-0.00824952903540866,-0.0059025937635682,"rejected"
0,0.005,0.005,FALSE,-0.00153733340745011,0,-0.00215159932018314,-0.000944865814131637,"rejected"
0.0025,0.005,0.005,FALSE,-0.00154264314213504,0,-0.00216005450386452,-0.000946154575754092,"rejected"
0.005,0.005,0.005,FALSE,-0.00154800651050365,0,-0.00216802932046664,-0.000948939562721097,"rejected"
0.01,0.005,0.005,FALSE,-0.00155889743198685,0,-0.00216651107932916,-0.000952802232732416,"rejected"
0.02,0.005,0.005,FALSE,-0.0019482345644894,0,-0.00235878246620152,-0.000732896171487825,"rejected"
0.05,0.005,0.005,FALSE,-0.00753814126475378,0,-0.0083202439186533,-0.00595544382076949,"rejected"
0,0.01,0.005,FALSE,-0.0016064714917726,0,-0.00216776342865896,-0.00100153577439455,"rejected"
0.0025,0.01,0.005,FALSE,-0.00161196215232823,0,-0.00217684422849189,-0.00100213814062314,"rejected"
0.005,0.01,0.005,FALSE,-0.00161750827410158,0,-0.00217687485225046,-0.00100397903445245,"rejected"
0.01,0.01,0.005,FALSE,-0.00162877029688626,0,-0.00218459654063996,-0.00101198527594639,"rejected"
0.02,0.01,0.005,FALSE,-0.00201263946698513,0,-0.00239035754620852,-0.000819460246068434,"rejected"
0.05,0.01,0.005,FALSE,-0.00764358456355046,0,-0.00846694456922921,-0.00606544064653731,"rejected"
0,0.02,0.005,FALSE,-0.00207515842280251,0,-0.00225034422418749,-0.000662551307846919,"rejected"
0.0025,0.02,0.005,FALSE,-0.00207912956568016,0,-0.00225043316337711,-0.000666777685016001,"rejected"
0.005,0.02,0.005,FALSE,-0.00208314082111214,0,-0.00224068587555428,-0.000671064786996812,"rejected"
0.01,0.02,0.005,FALSE,-0.00209128612550973,0,-0.00223109363408152,-0.000679788611815959,"rejected"
0.02,0.02,0.005,FALSE,-0.00225306631106803,0,-0.00235899861304333,-0.000897851450257322,"rejected"
0.05,0.02,0.005,FALSE,-0.0078682246348999,0,-0.00878872608002514,-0.0063275622739611,"rejected"
0,0.05,0.005,FALSE,-0.00680454521153687,0,-0.00753535905459001,-0.00366990509499547,"rejected"
0.0025,0.05,0.005,FALSE,-0.00683713306503949,0,-0.00759518195261985,-0.00372301358004176,"rejected"
0.005,0.05,0.005,FALSE,-0.00687005008877952,0,-0.00765595887611572,-0.00377665851443195,"rejected"
0.01,0.05,0.005,FALSE,-0.00693689180025161,0,-0.0077845861253664,-0.00388559057508143,"rejected"
0.02,0.05,0.005,FALSE,-0.00707475283016279,0,-0.00798598824251192,-0.00411026295017098,"rejected"
0.05,0.05,0.005,FALSE,-0.00867692889175789,0,-0.00941318692590694,-0.00680222339892044,"rejected"
0,0,0.01,FALSE,-0.00351422772523056,0,-0.00420243852008138,-0.00282804011772829,"rejected"
0.0025,0,0.01,FALSE,-0.00352183805408206,0,-0.00421426732130331,-0.00283022801489801,"rejected"
0.005,0,0.01,FALSE,-0.00352952525494215,0,-0.00422614544924837,-0.00283204157804963,"rejected"
0.01,0,0.01,FALSE,-0.00354513497913766,0,-0.00424059437899509,-0.00284138875055828,"rejected"
0.02,0,0.01,FALSE,-0.0035773300352909,0,-0.00428366344504351,-0.00285924246489071,"rejected"
0.05,0,0.01,FALSE,-0.00750695331481566,0,-0.00824642329422873,-0.00589672596397331,"rejected"
0,0.0025,0.01,FALSE,-0.0035582383196337,0,-0.00425573885998668,-0.00286881128744652,"rejected"
0.0025,0.0025,0.01,FALSE,-0.00356594384522504,0,-0.00426474524263845,-0.00287420126790127,"rejected"
0.005,0.0025,0.01,FALSE,-0.00357372720440821,0,-0.00427455339699596,-0.00287930686213675,"rejected"
0.01,0.0025,0.01,FALSE,-0.00358953218887199,0,-0.00429327537895588,-0.00288710322409291,"rejected"
0.02,0.0025,0.01,FALSE,-0.00362212996932854,0,-0.00433347389446753,-0.00290259052595497,"rejected"
