"alpha","eta","compatible_at_delta_zero","delta_max","bootstrap_median","ci_lower","ci_upper"
0,0,TRUE,0,0,0,0
0.0025,0,FALSE,NA,NA,NA,NA
0.005,0,FALSE,NA,NA,NA,NA
0.01,0,FALSE,NA,NA,NA,NA
0.02,0,FALSE,NA,NA,NA,NA
0.05,0,FALSE,NA,NA,NA,NA
0,0.0025,FALSE,NA,NA,NA,NA
0.0025,0.0025,FALSE,NA,NA,NA,NA
0.005,0.0025,FALSE,NA,NA,NA,NA
0.01,0.0025,FALSE,NA,NA,NA,NA
0.02,0.0025,FALSE,NA,NA,NA,NA
0.05,0.0025,FALSE,NA,NA,NA,NA
0,0.005,FALSE,NA,NA,NA,NA
0.0025,0.005,FALSE,NA,NA,NA,NA
0.005,0.005,FALSE,NA,NA,NA,NA
0.01,0.005,FALSE,NA,NA,NA,NA
0.02,0.005,FALSE,NA,NA,NA,NA
0.05,0.005,FALSE,NA,NA,NA,NA
0,0.01,FALSE,NA,NA,NA,NA
0.0025,0.01,FALSE,NA,NA,NA,NA
0.005,0.01,FALSE,NA,NA,NA,NA
0.01,0.01,FALSE,NA,NA,NA,NA
0.02,0.01,FALSE,NA,NA,NA,NA
0.05,0.01,FALSE,NA,NA,NA,NA
0,0.02,FALSE,NA,NA,NA,NA
0.0025,0.02,FALSE,NA,NA,NA,NA
0.005,0.02,FALSE,NA,NA,NA,NA
0.01,0.02,FALSE,NA,NA,NA,NA
0.02,0.02,FALSE,NA,NA,NA,NA
0.05,0.02,FALSE,NA,NA,NA,NA
0,0.05,FALSE,NA,NA,NA,NA
0.0025,0.05,FALSE,NA,NA,NA,NA
0.005,0.05,FALSE,NA,NA,NA,NA
0.01,0.05,FALSE,NA,NA,NA,NA
0.02,0.05,FALSE,NA,NA,NA,NA
0.05,0.05,FALSE,NA,NA,NA,NA
