"alpha","eta","delta","compatible","minimum_canonical_coordinate","negative_coordinate_count","observable_witness_bits","conditional_entropy_y_given_t_c_bits","sharp_lower_bits","sharp_upper_bits","lower_minus_witness_bits","sharp_lower_boot_median","sharp_upper_boot_median","compatible_boot_replicates"
0,0,0,TRUE,0,0,0.0298430654736502,0.341175288751263,0.0298430654736502,0.341175288751263,-1.38777878078145e-17,0.0320607273435471,0.339462170140742,1000
0.0025,0,0,FALSE,-4.4531267665891e-05,8,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0,0,FALSE,-8.9512346116286e-05,9,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0,0,FALSE,-0.00028319032786199,13,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0,0,FALSE,-0.00186079015830806,20,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0,0,FALSE,-0.00736967958567855,33,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.0025,0,FALSE,-0.000238127814367373,8,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.0025,0,FALSE,-0.00024498658579723,8,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.0025,0,FALSE,-0.00025191463774658,10,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.0025,0,FALSE,-0.000289443952778417,13,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.0025,0,FALSE,-0.00189105778001156,21,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.0025,0,FALSE,-0.00741934705451793,33,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.005,0,FALSE,-0.000481115380048367,9,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.005,0,FALSE,-0.000487638075179834,9,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.005,0,FALSE,-0.00049422665612071,11,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.005,0,FALSE,-0.000507605509255754,15,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.005,0,FALSE,-0.00192194310828045,22,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.005,0,FALSE,-0.00747002814517035,33,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.01,0,FALSE,-0.000982277234265415,10,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.01,0,FALSE,-0.000988106772031454,11,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.01,0,FALSE,-0.000993995194017352,12,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.01,0,FALSE,-0.00100595229580504,16,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.01,0,FALSE,-0.00198564409783503,22,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.01,0,FALSE,-0.00757455789464097,32,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.02,0,FALSE,-0.00204996988020608,13,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.02,0,FALSE,-0.00205432269141099,13,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.02,0,FALSE,-0.00205871947040585,14,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.02,0,FALSE,-0.00206764762367092,18,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.02,0,FALSE,-0.00222814282511364,24,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.02,0,FALSE,-0.00779725170873055,33,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.05,0,FALSE,-0.00673423205633836,21,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.05,0,FALSE,-0.00676646356305705,21,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.05,0,FALSE,-0.00679902064055066,23,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.05,0,FALSE,-0.0068651314407673,26,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.05,0,FALSE,-0.00700148496621411,32,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.05,0,FALSE,-0.00859894943945304,40,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0,0.0025,FALSE,-0.00048028599620716,9,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0,0.0025,FALSE,-0.000484222389691399,9,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0,0.0025,FALSE,-0.000488198544725983,11,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0,0.0025,FALSE,-0.000496272573826823,14,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0,0.0025,FALSE,-0.00187346863597964,21,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0,0.0025,FALSE,-0.00740295806546937,34,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.0025,0.0025,FALSE,-0.000507726381057297,9,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.0025,0.0025,FALSE,-0.000511744266815492,9,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.0025,0.0025,FALSE,-0.000515802737278315,11,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.0025,0.0025,FALSE,-0.00052404391709568,14,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.0025,0.0025,FALSE,-0.00190390180111472,22,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.0025,0.0025,FALSE,-0.00745284037918728,34,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.005,0.0025,FALSE,-0.000535726773761518,10,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.005,0.0025,FALSE,-0.000539827814901301,11,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.005,0.0025,FALSE,-0.000543970280699061,12,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.005,0.0025,FALSE,-0.000552382022472064,16,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.005,0.0025,FALSE,-0.00193495605125256,23,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.005,0.0025,FALSE,-0.0075037406993076,34,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.01,0.0025,FALSE,-0.000990898787428302,11,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.01,0.0025,FALSE,-0.000996531091405784,12,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.01,0.0025,FALSE,-0.00100222028734263,13,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.01,0.0025,FALSE,-0.00101377283827563,17,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.01,0.0025,FALSE,-0.00199900544216185,23,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.01,0.0025,FALSE,-0.00760872260955577,32,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.02,0.0025,FALSE,-0.0020624369366427,14,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.02,0.0025,FALSE,-0.00206660084130179,14,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.02,0.0025,FALSE,-0.00207080680560391,15,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.02,0.0025,FALSE,-0.0020793474882174,19,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
