"alpha","eta","delta","point_compatible","minimum_point_coordinate","minimum_outer_upper","minimum_outer_lower","compatibility_inference","rejected","certified_compatible","canonical_cells"
0,0,0,TRUE,0,0.517857244264845,-0.581148067030608,"not_rejected",FALSE,FALSE,128
0.0025,0,0,FALSE,-4.4531267665891e-05,0.520415010707052,-0.58407559720219,"not_rejected",FALSE,FALSE,128
0.005,0,0,FALSE,-8.9512346116286e-05,0.522998613173929,-0.587032698385607,"not_rejected",FALSE,FALSE,128
0.01,0,0,FALSE,-0.00028319032786199,0.528142569126061,-0.593037424258054,"not_rejected",FALSE,FALSE,128
0.02,0,0,FALSE,-0.00186079015830806,0.537703374469498,-0.605422171369977,"not_rejected",FALSE,FALSE,128
0.05,0,0,FALSE,-0.00736967958567855,0.568268773366335,-0.646349664385115,"not_rejected",FALSE,FALSE,128
0,0.0025,0,FALSE,-0.000238127814367373,0.523080561081424,-0.587256377340234,"not_rejected",FALSE,FALSE,128
0.0025,0.0025,0,FALSE,-0.00024498658579723,0.524350898885091,-0.588738156336604,"not_rejected",FALSE,FALSE,128
0.005,0.0025,0,FALSE,-0.00025191463774658,0.526954997993643,-0.591717272114567,"not_rejected",FALSE,FALSE,128
0.01,0.0025,0,FALSE,-0.000289443952778417,0.532139540951553,-0.597766701092269,"not_rejected",FALSE,FALSE,128
0.02,0.0025,0,FALSE,-0.00189105778001156,0.541780337618426,-0.610243648358778,"not_rejected",FALSE,FALSE,128
0.05,0.0025,0,FALSE,-0.00741934705451793,0.572610117048661,-0.651516930265548,"not_rejected",FALSE,FALSE,128
0,0.005,0,FALSE,-0.000481115380048367,0.528410476200382,-0.593489347043934,"not_rejected",FALSE,FALSE,128
0.0025,0.005,0,FALSE,-0.000487638075179834,0.529694814224861,-0.594985840170382,"not_rejected",FALSE,FALSE,128
0.005,0.005,0,FALSE,-0.00049422665612071,0.530992125360698,-0.596497449389016,"not_rejected",FALSE,FALSE,128
0.01,0.005,0,FALSE,-0.000507605509255754,0.536218083630627,-0.602592493780242,"not_rejected",FALSE,FALSE,128
0.02,0.005,0,FALSE,-0.00192194310828045,0.545940504096923,-0.615163522837145,"not_rejected",FALSE,FALSE,128
0.05,0.005,0,FALSE,-0.00747002814517035,0.577040059581647,-0.656789650551705,"not_rejected",FALSE,FALSE,128
0,0.01,0,FALSE,-0.000982277234265415,0.539403426133233,-0.606344847057816,"not_rejected",FALSE,FALSE,128
0.0025,0.01,0,FALSE,-0.000988106772031454,0.540716639613137,-0.60787168807755,"not_rejected",FALSE,FALSE,128
0.005,0.01,0,FALSE,-0.000993995194017352,0.542043117875666,-0.609413951733848,"not_rejected",FALSE,FALSE,128
0.01,0.01,0,FALSE,-0.00100595229580504,0.544630077906216,-0.612545691199188,"not_rejected",FALSE,FALSE,128
0.02,0.01,0,FALSE,-0.00198564409783503,0.554520847458823,-0.625310763948778,"not_rejected",FALSE,FALSE,128
0.05,0.01,0,FALSE,-0.00757455789464097,0.586176816055932,-0.667664636141902,"not_rejected",FALSE,FALSE,128
0,0.02,0,FALSE,-0.00204996988020608,0.562823189033654,-0.633732651435215,"not_rejected",FALSE,FALSE,128
0.0025,0.02,0,FALSE,-0.00205432269141099,0.564197919788159,-0.635324146662387,"not_rejected",FALSE,FALSE,128
0.005,0.02,0,FALSE,-0.00205871947040585,0.565586536711902,-0.636931717598925,"not_rejected",FALSE,FALSE,128
0.01,0.02,0,FALSE,-0.00206764762367092,0.56829504135697,-0.6401960708272,"not_rejected",FALSE,FALSE,128
0.02,0.02,0,FALSE,-0.00222814282511364,0.572800709403741,-0.647070880245852,"not_rejected",FALSE,FALSE,128
0.05,0.02,0,FALSE,-0.00779725170873055,0.605642079848972,-0.690833083703627,"not_rejected",FALSE,FALSE,128
0,0.05,0,FALSE,-0.00673423205633836,0.647134335475171,-0.733169315844599,"not_rejected",FALSE,FALSE,128
0.0025,0.05,0,FALSE,-0.00676646356305705,0.648730528418241,-0.73502676112968,"not_rejected",FALSE,FALSE,128
0.005,0.05,0,FALSE,-0.00679902064055066,0.650342844522352,-0.736902968488348,"not_rejected",FALSE,FALSE,128
0.01,0.05,0,FALSE,-0.0068651314407673,0.653479764888575,-0.740712818124826,"not_rejected",FALSE,FALSE,128
0.02,0.05,0,FALSE,-0.00700148496621411,0.658837011009542,-0.748570633000063,"not_rejected",FALSE,FALSE,128
0.05,0.05,0,FALSE,-0.00859894943945304,0.675717029503917,-0.774239494925837,"not_rejected",FALSE,FALSE,128
0,0,0.0025,FALSE,-0.00048028599620716,0.523063796366042,-0.587498535522074,"not_rejected",FALSE,FALSE,128
0.0025,0,0.0025,FALSE,-0.000484222389691399,0.524334182567829,-0.588977392140498,"not_rejected",FALSE,FALSE,128
0.005,0,0.0025,FALSE,-0.000488198544725983,0.526938330563372,-0.591953556021547,"not_rejected",FALSE,FALSE,128
0.01,0,0.0025,FALSE,-0.000496272573826823,0.532138100841906,-0.597996990841227,"not_rejected",FALSE,FALSE,128
0.02,0,0.0025,FALSE,-0.00187346863597964,0.5417796181158,-0.610461575156818,"not_rejected",FALSE,FALSE,128
