"alpha","eta","delta","compatible","minimum_canonical_coordinate","bootstrap_compatibility_fraction","minimum_coordinate_ci_lower","minimum_coordinate_ci_upper","compatibility_inference","design_id"
0,0,0,TRUE,0.00144459064519382,1,0.000975696006514416,0.00223053383541479,"certified_compatible","C1_M2_T4"
0.0025,0,0,TRUE,0.00141493407549841,1,0.00101123898893376,0.00228757931123753,"certified_compatible","C1_M2_T4"
0.005,0,0,TRUE,0.00138497794449294,0.999,0.00107842668006991,0.00237432800649546,"certified_compatible","C1_M2_T4"
0.01,0,0,TRUE,0.000870188530853828,0.958,0.000382967473046002,0.0018079459437858,"certified_compatible","C1_M2_T4"
0.02,0,0,FALSE,-0.000361045217768635,0.174,-0.00119312372695823,0.000578258174675059,"indeterminate","C1_M2_T4"
0.05,0,0,FALSE,-0.00530542987438714,0,-0.00661685401812029,-0.0033952283790501,"rejected","C1_M2_T4"
0,0.0025,0,TRUE,0.00144360457344065,1,0.000987533580246458,0.00223193710505582,"certified_compatible","C1_M2_T4"
0.0025,0.0025,0,TRUE,0.00141422283593779,1,0.00102833797115975,0.00228829157733342,"certified_compatible","C1_M2_T4"
0.005,0.0025,0,TRUE,0.00138454431320762,0.999,0.0010931402975703,0.00237946582246893,"certified_compatible","C1_M2_T4"
0.01,0.0025,0,TRUE,0.000847278077813207,0.955,0.000366487521854118,0.00177178793888128,"certified_compatible","C1_M2_T4"
0.02,0.0025,0,FALSE,-0.000385831948944527,0.158,-0.00121652716358164,0.000556512160776558,"indeterminate","C1_M2_T4"
0.05,0.0025,0,FALSE,-0.00538324816923024,0,-0.00671811417382784,-0.00346725552272504,"rejected","C1_M2_T4"
0,0.005,0,TRUE,0.00144260854136674,1,0.00101646329423875,0.00224272079043864,"certified_compatible","C1_M2_T4"
0.0025,0.005,0,TRUE,0.00141350441213918,1,0.00105306878717131,0.00229629793130553,"certified_compatible","C1_M2_T4"
0.005,0.005,0,TRUE,0.00138410630180831,0.999,0.00112411629118796,0.00239084111077653,"certified_compatible","C1_M2_T4"
0.01,0.005,0,TRUE,0.000824136206055005,0.953,0.000340316931148488,0.00176055004315936,"certified_compatible","C1_M2_T4"
0.02,0.005,0,FALSE,-0.000410869051142398,0.15,-0.00124065545713685,0.000534546490172013,"indeterminate","C1_M2_T4"
0.05,0.005,0,FALSE,-0.00546185250745558,0,-0.00680872261847951,-0.00354713484894033,"rejected","C1_M2_T4"
0,0.01,0,TRUE,0.00144058598644116,1,0.00106739271170815,0.00228551322324268,"certified_compatible","C1_M2_T4"
0.0025,0.01,0,TRUE,0.0014120455719767,1,0.00109936811772296,0.00236367272942877,"certified_compatible","C1_M2_T4"
0.005,0.01,0,TRUE,0.00137780039441905,0.997,0.00115823345855904,0.00246677229969704,"certified_compatible","C1_M2_T4"
0.01,0.01,0,TRUE,0.000777144037892941,0.943,0.000316109892355838,0.00170998588513383,"certified_compatible","C1_M2_T4"
0.02,0.01,0,FALSE,-0.000461709697442156,0.123,-0.00128941487221578,0.000489942730475026,"indeterminate","C1_M2_T4"
0.05,0.01,0,FALSE,-0.00562146743915807,0,-0.00705758280982991,-0.00369126421303298,"rejected","C1_M2_T4"
0,0.02,0,TRUE,0.00143641446690714,0.997,0.00114597783438167,0.00245845991767837,"certified_compatible","C1_M2_T4"
