"cycle","design_id","n","deaths","common_floor","compatible","minimum_canonical_coordinate","observable_witness_bits","sharp_lower_bits","sharp_upper_bits"
"2003-2004","C1_M2_T4",3317,487,0,TRUE,0.00115163411211496,0.0309344146629937,0.0309344146629937,0.43078563176977
"2003-2004","C1_M2_T4",3317,487,0.0025,TRUE,0.000937241065515306,0.0309344146629937,0.031446443016356,0.405573765876835
"2003-2004","C1_M2_T4",3317,487,0.005,TRUE,0.000722402556289986,0.0309344146629937,0.0319831018224079,0.385370939435976
"2003-2004","C1_M2_T4",3317,487,0.01,TRUE,0.000291566100051628,0.0309344146629937,0.0331814331414879,0.349992495873859
"2003-2004","age2_M2_T4",3317,487,0,TRUE,0,0.00758775088782569,0.00758775088782543,0.335663237723556
"2003-2004","age2_M2_T4",3317,487,0.0025,FALSE,-7.67882376418644e-05,0.00758775088782569,NA,NA
"2003-2004","age2_M2_T4",3317,487,0.005,FALSE,-0.000149999628944595,0.00758775088782569,NA,NA
"2003-2004","age2_M2_T4",3317,487,0.01,FALSE,-0.000349923749544965,0.00758775088782569,NA,NA
"2003-2004","C4_M2_T2",3317,487,0,TRUE,0,0.0112036556412284,0.0112036556412284,0.337666029176154
"2003-2004","C4_M2_T2",3317,487,0.0025,FALSE,-0.000312908592406403,0.0112036556412284,NA,NA
"2003-2004","C4_M2_T2",3317,487,0.005,FALSE,-0.000626764064971713,0.0112036556412284,NA,NA
"2003-2004","C4_M2_T2",3317,487,0.01,FALSE,-0.00125729833281479,0.0112036556412284,NA,NA
"2005-2006","C1_M2_T4",3248,416,0,TRUE,0.00173995414344675,0.0389737193164532,0.0389737193164531,0.450897992638824
"2005-2006","C1_M2_T4",3248,416,0.0025,TRUE,0.00152043415538002,0.0389737193164532,0.039537425956426,0.425686126745889
"2005-2006","C1_M2_T4",3248,416,0.005,TRUE,0.00126450113819314,0.0389737193164532,0.0401204114946119,0.40548330030503
"2005-2006","C1_M2_T4",3248,416,0.01,TRUE,0.000738401404537667,0.0389737193164532,0.0413579114447932,0.370104856742913
"2005-2006","age2_M2_T4",3248,416,0,TRUE,0.000437127617446267,0.0123623796811358,0.0123623796811358,0.353090861460419
"2005-2006","age2_M2_T4",3248,416,0.0025,TRUE,0.000355087227604425,0.0123623796811358,0.0126843130828122,0.327878995567484
"2005-2006","age2_M2_T4",3248,416,0.005,TRUE,0.000276297211315615,0.0123623796811358,0.0130205812487529,0.307676169126625
"2005-2006","age2_M2_T4",3248,416,0.01,TRUE,5.79685004148011e-05,0.0123623796811358,0.0137478953010061,0.272297725564508
"2005-2006","C4_M2_T2",3248,416,0,TRUE,0,0.0163594040513915,0.0163594040513916,0.355682882422374
"2005-2006","C4_M2_T2",3248,416,0.0025,FALSE,-0.000275236796683175,0.0163594040513915,NA,NA
"2005-2006","C4_M2_T2",3248,416,0.005,FALSE,-0.000550874386208087,0.0163594040513915,NA,NA
"2005-2006","C4_M2_T2",3248,416,0.01,FALSE,-0.0011033045028807,0.0163594040513915,NA,NA
