"alpha","eta","compatible_at_delta_zero","delta_max","bootstrap_median","ci_lower","ci_upper","design_id"
0,0,TRUE,0.0180060612372472,0.0180688274316892,0.00950288275001831,0.0264924193991858,"C1_M2_T4"
0.0025,0,TRUE,0.01782610731271,0.0178810285874983,0.00918861985054368,0.0265486846694629,"C1_M2_T4"
0.005,0,TRUE,0.0176403624335064,0.0176772547604007,0.00886383771872281,0.0263070401059237,"C1_M2_T4"
0.01,0,TRUE,0.0172503445084787,0.0172116149670433,0.00840975233486479,0.0266812578381565,"C1_M2_T4"
0.02,0,FALSE,NA,0.0145211557321703,NA,NA,"C1_M2_T4"
0.05,0,FALSE,NA,NA,NA,NA,"C1_M2_T4"
0,0.0025,TRUE,0.0179564439117007,0.0180125762202455,0.00947904841665408,0.0264259991249526,"C1_M2_T4"
0.0025,0.0025,TRUE,0.0177796033319672,0.0178354523835229,0.00916816611892423,0.0264846133241807,"C1_M2_T4"
0.005,0.0025,TRUE,0.0175970841548337,0.0176058881770216,0.00884700471371566,0.0262531240125158,"C1_M2_T4"
0.01,0.0025,TRUE,0.0172138796241078,0.0171502945511735,0.00840411772463457,0.0265139652746156,"C1_M2_T4"
0.02,0.0025,FALSE,NA,0.0148902476617811,NA,NA,"C1_M2_T4"
0.05,0.0025,FALSE,NA,NA,NA,NA,"C1_M2_T4"
0,0.005,TRUE,0.0179065339469321,0.0179689296170182,0.00945508007791927,0.0263591871988493,"C1_M2_T4"
0.0025,0.005,TRUE,0.0177328281526028,0.0177827165029245,0.009147599307128,0.0264199570104721,"C1_M2_T4"
0.005,0.005,TRUE,0.0175535564455587,0.0175638575261578,0.00883008059403521,0.0264061884898091,"C1_M2_T4"
0.01,0.005,TRUE,0.0171772098072014,0.0170543294431845,0.00842297319112299,0.0267317369060937,"C1_M2_T4"
0.02,0.005,FALSE,NA,0.0145225742413865,NA,NA,"C1_M2_T4"
0.05,0.005,FALSE,NA,NA,NA,NA,"C1_M2_T4"
0,0.01,TRUE,0.0178058256825054,0.0178856403527832,0.00940673685276881,0.0262243744524266,"C1_M2_T4"
0.0025,0.01,TRUE,0.0176384546530039,0.0176952781590591,0.00910612268583376,0.0263013716288288,"C1_M2_T4"
0.005,0.01,TRUE,0.0174657440597716,0.0174706868223475,0.00887002804989417,0.0263625768528814,"C1_M2_T4"
0.01,0.01,TRUE,0.0171032484264053,0.016851651927269,0.00858761055138489,0.0271547834289174,"C1_M2_T4"
0.02,0.01,FALSE,NA,0.0147092905575864,NA,NA,"C1_M2_T4"
0.05,0.01,FALSE,NA,NA,NA,NA,"C1_M2_T4"
0,0.02,TRUE,0.0176007811422218,0.0176412544823003,0.00948459641252393,0.0259880541197626,"C1_M2_T4"
0.0025,0.02,TRUE,0.0174463466889461,0.0173918224201463,0.00922738222904432,0.0261571187877436,"C1_M2_T4"
0.005,0.02,TRUE,0.0172870292666062,0.0170784212665539,0.00904304844212742,0.0265806906942669,"C1_M2_T4"
0.01,0.02,TRUE,0.0169527889189364,0.0162802546514256,0.00881014179403652,0.0272945334433856,"C1_M2_T4"
0.02,0.02,FALSE,NA,0.0133945553722504,NA,NA,"C1_M2_T4"
0.05,0.02,FALSE,NA,NA,NA,NA,"C1_M2_T4"
0,0.05,TRUE,0.0169549964296024,0.0152408828455687,0.0106010404355109,0.0307794551067694,"C1_M2_T4"
0.0025,0.05,TRUE,0.0168416456894472,0.0149853125084073,0.0104849059096296,0.0303204499334928,"C1_M2_T4"
0.005,0.05,TRUE,0.0123913485684534,0.0147392397844025,0.00170513893109878,0.0220525901492703,"C1_M2_T4"
0.01,0.05,FALSE,NA,0.0136810580626974,NA,NA,"C1_M2_T4"
0.02,0.05,FALSE,NA,0.00984732166797004,NA,NA,"C1_M2_T4"
0.05,0.05,FALSE,NA,NA,NA,NA,"C1_M2_T4"
0,0,TRUE,0.0125139844996289,0.0120378536617617,0.00529597755438205,0.0250279689992578,"age2_M2_T4"
0.0025,0,TRUE,0.0110109275431376,0.0114036014172381,0.00189454022415243,0.0137367490882734,"age2_M2_T4"
0.005,0,TRUE,0.00930883183925973,0.00983908225315907,-0.0013847017266481,0.0115179279155093,"age2_M2_T4"
0.01,0,FALSE,NA,0.00574004087222431,NA,NA,"age2_M2_T4"
0.02,0,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0.05,0,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0,0.0025,TRUE,0.0122887186304837,0.0124535949427719,0.00447686089763706,0.0160122892628492,"age2_M2_T4"
0.0025,0.0025,TRUE,0.0107959691473657,0.0112129643927174,0.00148280848000859,0.0133426979675013,"age2_M2_T4"
0.005,0.0025,TRUE,0.00910605224972924,0.0096774188612651,-0.00177490319048109,0.0112793819888363,"age2_M2_T4"
0.01,0.0025,FALSE,NA,0.00554836437677665,NA,NA,"age2_M2_T4"
0.02,0.0025,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0.05,0.0025,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0,0.005,TRUE,0.0120616796071796,0.0122741943992397,0.00405101502975779,0.0155765227222224,"age2_M2_T4"
0.0025,0.005,TRUE,0.0105793798425384,0.011018049282111,0.00108967117109561,0.0129928503750913,"age2_M2_T4"
0.005,0.005,TRUE,0.00890179939627911,0.00943623113129989,-0.00188537742956259,0.0111575495844442,"age2_M2_T4"
0.01,0.005,FALSE,NA,0.00536403468899885,NA,NA,"age2_M2_T4"
0.02,0.005,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0.05,0.005,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0,0.01,TRUE,0.0116021976906273,0.0117001371028677,0.00376423310263367,0.0159025310934399,"age2_M2_T4"
0.0025,0.01,TRUE,0.0101412336949826,0.0103586860370804,0.000864888679726113,0.0142605946301065,"age2_M2_T4"
0.005,0.01,TRUE,0.00848880920497099,0.0088411485101101,-0.00222103814519291,0.013721604630037,"age2_M2_T4"
0.01,0.01,FALSE,NA,0.00482324593100867,NA,NA,"age2_M2_T4"
0.02,0.01,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0.05,0.01,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0,0.02,TRUE,0.0106610084722497,0.0105343171336834,0.00822280897149761,0.0179642388458766,"age2_M2_T4"
0.0025,0.02,TRUE,0.00924453131027302,0.00923060345218119,0.00658392245007364,0.0145835896259686,"age2_M2_T4"
0.005,0.02,TRUE,0.00764442458253848,0.00768270236483754,0.00453238002112703,0.0119862194765628,"age2_M2_T4"
0.01,0.02,FALSE,NA,0.00379396708244337,NA,NA,"age2_M2_T4"
0.02,0.02,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0.05,0.02,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0,0.05,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0.0025,0.05,FALSE,NA,NA,NA,NA,"age2_M2_T4"
