"design_id","alpha","eta","delta","compatible","observable_witness_bits","sharp_lower_bits","sharp_upper_bits","minimum_coordinate_ci_lower","minimum_coordinate_ci_upper","compatibility_inference","common_floor"
"canonical_C4_M4_T4",0,0,0,TRUE,0.0298430654736502,0.0298430654736502,0.341175288751263,NA,NA,"plug_in_compatible",0
"canonical_C4_M4_T4",0.0025,0.0025,0.0025,FALSE,0.0298430654736502,NA,NA,NA,NA,"plug_in_incompatible",0.0025
"canonical_C4_M4_T4",0.005,0.005,0.005,FALSE,0.0298430654736502,NA,NA,NA,NA,"plug_in_incompatible",0.005
"canonical_C4_M4_T4",0.01,0.01,0.01,FALSE,0.0298430654736502,NA,NA,NA,NA,"plug_in_incompatible",0.01
"C1_M2_T4",0,0,0,TRUE,0.0349048889324322,0.0349048889324324,0.441239985466228,0.000975696006514416,0.00223053383541479,"certified_compatible",0
"C1_M2_T4",0.0025,0.0025,0.0025,TRUE,0.0349048889324322,0.0354277804057518,0.416028119573293,0.000780347082742414,0.00202759766949029,"certified_compatible",0.0025
"C1_M2_T4",0.005,0.005,0.005,TRUE,0.0349048889324322,0.0359702662596345,0.395825293132434,0.000581240759288135,0.0017936612432161,"certified_compatible",0.005
"C1_M2_T4",0.01,0.01,0.01,TRUE,0.0349048889324322,0.0371369422996168,0.360446849570317,0.000215157988177183,0.00142718408323977,"certified_compatible",0.01
"age2_M2_T4",0,0,0,TRUE,0.00931938944898363,0.00931938944898359,0.344913562819948,-2.48214079297373e-05,0.000434383456281305,"indeterminate",0
"age2_M2_T4",0.0025,0.0025,0.0025,TRUE,0.00931938944898363,0.00963360390496068,0.319701696927014,-0.000109515310653603,0.000366614570845425,"indeterminate",0.0025
"age2_M2_T4",0.005,0.005,0.005,TRUE,0.00931938944898363,0.00996980259071801,0.299498870486154,-0.000186052481340357,0.000346847486320773,"indeterminate",0.005
"age2_M2_T4",0.01,0.01,0.01,FALSE,0.00931938944898363,NA,NA,-0.000226056898777702,0.000841827179555331,"indeterminate",0.01
"C4_M2_T2",0,0,0,TRUE,0.0123555417926148,0.0123555417926149,0.347863305278179,0.000603252865585406,0.00253896547218112,"certified_compatible",0
"C4_M2_T2",0.0025,0.0025,0.0025,TRUE,0.0123555417926148,0.0125732828445464,0.322651439385244,0.000498427047304405,0.00235291075011054,"certified_compatible",0.0025
"C4_M2_T2",0.005,0.005,0.005,TRUE,0.0123555417926148,0.0127979160447663,0.302448612944385,0.000208155662542894,0.00203462959201696,"certified_compatible",0.005
"C4_M2_T2",0.01,0.01,0.01,TRUE,0.0123555417926148,0.0132696251108541,0.267070169382268,-0.000588198447210914,0.00143428632113377,"indeterminate",0.01
