"alpha","eta","delta","compatible","minimum_canonical_coordinate","negative_coordinate_count","observable_witness_bits","conditional_entropy_y_given_t_c_bits","sharp_lower_bits","sharp_upper_bits","lower_minus_witness_bits","design_id"
0,0,0,TRUE,0.00144459064519382,0,0.0349048889324322,0.441239985466228,0.0349048889324324,0.441239985466228,1.38777878078145e-16,"C1_M2_T4"
0.0025,0,0,TRUE,0.00141493407549841,0,0.0349048889324322,0.441239985466228,0.0349048889324324,0.416028119573293,1.38777878078145e-16,"C1_M2_T4"
0.005,0,0,TRUE,0.00138497794449294,0,0.0349048889324322,0.441239985466228,0.0349048889324324,0.395825293132434,1.38777878078145e-16,"C1_M2_T4"
0.01,0,0,TRUE,0.000870188530853828,0,0.0349048889324322,0.441239985466228,0.0349048889324324,0.360446849570317,1.38777878078145e-16,"C1_M2_T4"
0.02,0,0,FALSE,-0.000361045217768635,1,0.0349048889324322,0.441239985466228,NA,NA,NA,"C1_M2_T4"
0.05,0,0,FALSE,-0.00530542987438714,4,0.0349048889324322,0.441239985466228,NA,NA,NA,"C1_M2_T4"
0,0.0025,0,TRUE,0.00144360457344065,0,0.0349048889324322,0.441239985466228,0.0353436956881203,0.441239985466228,0.000438806755688054,"C1_M2_T4"
0.0025,0.0025,0,TRUE,0.00141422283593779,0,0.0349048889324322,0.441239985466228,0.0353436956881203,0.416028119573293,0.000438806755688054,"C1_M2_T4"
0.005,0.0025,0,TRUE,0.00138454431320762,0,0.0349048889324322,0.441239985466228,0.0353436956881203,0.395825293132434,0.000438806755688054,"C1_M2_T4"
0.01,0.0025,0,TRUE,0.000847278077813207,0,0.0349048889324322,0.441239985466228,0.0353436956881203,0.360446849570317,0.000438806755688054,"C1_M2_T4"
0.02,0.0025,0,FALSE,-0.000385831948944527,1,0.0349048889324322,0.441239985466228,NA,NA,NA,"C1_M2_T4"
0.05,0.0025,0,FALSE,-0.00538324816923024,4,0.0349048889324322,0.441239985466228,NA,NA,NA,"C1_M2_T4"
0,0.005,0,TRUE,0.00144260854136674,0,0.0349048889324322,0.441239985466228,0.035792553266697,0.441239985466228,0.000887664334264765,"C1_M2_T4"
0.0025,0.005,0,TRUE,0.00141350441213918,0,0.0349048889324322,0.441239985466228,0.035792553266697,0.416028119573293,0.000887664334264765,"C1_M2_T4"
0.005,0.005,0,TRUE,0.00138410630180831,0,0.0349048889324322,0.441239985466228,0.035792553266697,0.395825293132434,0.000887664334264765,"C1_M2_T4"
0.01,0.005,0,TRUE,0.000824136206055005,0,0.0349048889324322,0.441239985466228,0.035792553266697,0.360446849570317,0.000887664334264765,"C1_M2_T4"
0.02,0.005,0,FALSE,-0.000410869051142398,1,0.0349048889324322,0.441239985466228,NA,NA,NA,"C1_M2_T4"
0.05,0.005,0,FALSE,-0.00546185250745558,4,0.0349048889324322,0.441239985466228,NA,NA,NA,"C1_M2_T4"
0,0.01,0,TRUE,0.00144058598644116,0,0.0349048889324322,0.441239985466228,0.0367221369918841,0.441239985466228,0.00181724805945191,"C1_M2_T4"
0.0025,0.01,0,TRUE,0.0014120455719767,0,0.0349048889324322,0.441239985466228,0.0367221369918841,0.416028119573293,0.00181724805945191,"C1_M2_T4"
0.005,0.01,0,TRUE,0.00137780039441905,0,0.0349048889324322,0.441239985466228,0.0367221369918841,0.395825293132434,0.00181724805945191,"C1_M2_T4"
0.01,0.01,0,TRUE,0.000777144037892941,0,0.0349048889324322,0.441239985466228,0.0367221369918841,0.360446849570317,0.00181724805945191,"C1_M2_T4"
0.02,0.01,0,FALSE,-0.000461709697442156,1,0.0349048889324322,0.441239985466228,NA,NA,NA,"C1_M2_T4"
0.05,0.01,0,FALSE,-0.00562146743915807,4,0.0349048889324322,0.441239985466228,NA,NA,NA,"C1_M2_T4"
0,0.02,0,TRUE,0.00143641446690714,0,0.0349048889324322,0.441239985466228,0.038722892425017,0.441239985466228,0.00381800349258474,"C1_M2_T4"
0.0025,0.02,0,TRUE,0.00130046785080744,0,0.0349048889324322,0.441239985466228,0.038722892425017,0.416028119573293,0.00381800349258474,"C1_M2_T4"
0.005,0.02,0,TRUE,0.00114073352418307,0,0.0349048889324322,0.441239985466228,0.038722892425017,0.395825293132434,0.00381800349258474,"C1_M2_T4"
