dialogue_id,source_key,target_key,y_sentiment,y_sentiment_name,c_stratum,source_major,next_same_speaker,text_svd_00,text_svd_01,text_svd_02,text_svd_03,text_svd_04,text_svd_05,text_svd_06,text_svd_07,text_svd_08,text_svd_09,text_svd_10,text_svd_11,text_svd_12,text_svd_13,text_svd_14,text_svd_15,text_svd_16,text_svd_17,text_svd_18,text_svd_19,text_svd_20,text_svd_21,text_svd_22,text_svd_23,text_svd_24,text_svd_25,text_svd_26,text_svd_27,text_svd_28,text_svd_29,text_svd_30,text_svd_31,audio_pca_00,audio_pca_01,audio_pca_02,audio_pca_03,audio_pca_04,audio_pca_05,audio_pca_06,audio_pca_07,audio_pca_08,audio_pca_09,audio_pca_10,audio_pca_11,audio_pca_12,audio_pca_13,audio_pca_14,audio_pca_15,visual_pca_00,visual_pca_01,visual_pca_02,visual_pca_03,visual_pca_04,visual_pca_05,visual_pca_06,visual_pca_07,visual_pca_08,visual_pca_09,visual_pca_10,visual_pca_11,visual_pca_12,visual_pca_13,visual_pca_14,visual_pca_15,visual_pca_16,visual_pca_17,visual_pca_18,visual_pca_19,visual_pca_20,visual_pca_21,visual_pca_22,visual_pca_23,visual_pca_24,visual_pca_25,visual_pca_26,visual_pca_27,visual_pca_28,visual_pca_29,visual_pca_30,visual_pca_31
0,0_0,0_1,0,negative,major=0|same=0,0,0,0.11673945,-0.10437167,-0.065905817,0.24598515,0.0050299014,-0.8847751,-1.0483003,-0.17687812,-0.60580641,0.26517153,-1.1225011,0.55746609,0.28514025,-1.4162626,-1.5269015,-0.70607489,1.020425,0.58859658,1.5915308,0.23796658,0.71752912,-0.55754435,0.013035158,-0.50543922,-1.778583,-1.4506842,-2.3827069,1.9371567,2.7112894,-0.739187,0.4145014,-0.15190391,-0.25848147,-1.3095926,0.26177421,0.18596672,-0.043040086,0.40686974,-1.4566334,-0.40450299,-0.82985342,1.0761335,0.31678936,-0.92682934,0.11601649,0.69533718,0.23883104,0.78276271,-0.69789618,-1.5072339,1.4590062,0.87403411,-0.034841124,0.19859006,-0.38134646,0.63396448,0.26300514,-0.0047020735,0.69280988,0.23977748,1.5355952,-1.1264975,-1.244367,-0.029299961,0.60989636,0.7503652,-0.53422099,0.66219264,0.072783925,-2.9188271,0.53252852,0.19756542,-0.22578277,-0.014270697,0.90770793,0.20222874,-1.5321648,1.1837262,-0.031491626,0.2177089
0,0_1,0_2,1,neutral,major=1|same=1,1,1,0.12130836,-0.13546029,0.086561278,0.32574785,-0.06751129,-1.0133696,0.2461509,-0.13906109,-0.13037799,0.11209095,0.42690173,-1.3965544,0.88817972,-0.11979368,0.11777756,1.9670277,0.46881893,-0.14173423,1.3385466,-0.22336151,0.9892239,0.05226035,-0.079836987,0.31680831,0.96895587,0.83393967,2.5548329,-1.7019228,1.6711891,-0.61106676,-0.26218081,0.24873792,1.3052408,0.95306516,0.45114505,0.72807533,-1.091597,-0.34696278,-0.60152119,-1.1244657,1.2686429,-0.05652719,0.42256737,0.86684203,-0.80992639,0.68145627,-0.012777128,0.85345113,-1.0817053,-1.6953157,0.7252422,0.12991641,0.58980852,-0.36916456,-0.15972957,0.91111737,0.31215262,-0.22637095,1.0532575,0.67673308,-0.17142636,-0.84128648,-0.96863663,0.2873342,0.61211872,-0.36864436,-0.99762493,0.53551865,0.2349239,-1.2553257,0.17168717,0.00038369422,0.35204628,-1.0005157,1.5184215,-0.70546371,-1.5123041,2.2544479,0.58971316,0.81726122
1,1_0,1_1,2,positive,major=1|same=1,1,1,0.45603117,-0.14359485,-0.039161656,0.45836869,-0.018248655,-1.1828287,-1.2584169,-0.1758408,-0.36527577,-0.70722365,-0.46469262,-1.0608972,0.54939103,1.3993975,-1.2766178,-3.1668267,-3.4690232,3.5361309,8.4709435,1.2912769,2.4749184,-0.68255043,-1.0273551,-1.9613463,1.1828418,1.9975137,1.892974,-2.127172,4.1229148,-0.31903976,0.68481952,0.919716,-1.2068355,-0.56406623,-0.8492049,-2.012912,0.43006295,0.62301964,-0.10903379,0.95916861,0.88414824,-0.49542588,-0.12528981,0.44235468,1.0366659,-1.1964726,0.092430033,0.26718637,-1.2127532,1.1712323,-1.0098387,0.47053832,-0.88856751,-0.7477659,1.8823901,2.6250212,2.6204042,-0.086663246,-0.84256089,0.23911388,1.1003391,1.8554878,1.1538239,-1.0401307,-0.94301134,0.12033517,0.85368997,-1.1781894,-0.81322753,1.5567665,-0.92659289,-1.2324764,0.49736524,0.18674646,-1.6578195,-0.7566542,0.61423498,0.035880946,-2.1958265,-0.093828581
1,1_1,1_2,2,positive,major=1|same=1,1,1,-1.0306849,0.077937722,-0.12556161,-0.31086898,-0.024108933,0.37664467,0.19473834,-0.074065477,-0.034360893,-0.025283454,-0.042074896,0.11340106,0.010558491,0.046066165,-0.0091145178,-0.042273659,0.040884502,0.060843058,0.012143075,-0.045200352,0.010819324,-0.038521122,-0.023168171,-0.015726021,0.0041504661,-0.059307534,0.02019795,-0.039301828,-0.0012882133,-0.032944128,0.024063094,-0.060855474,-0.16494173,-0.75016487,-0.90667742,-1.2709143,-0.5880881,-1.3340741,0.64627779,0.85450667,1.4517258,-1.9055599,1.0944437,-0.28421131,0.32678166,0.83641464,2.6914253,1.0926586,-1.2266963,1.0257171,-0.93825477,0.4984082,-0.79148465,-0.64050448,2.0016644,2.6891868,2.3960385,0.10737724,-0.76155084,0.066415489,0.97486198,2.0809085,1.4383098,-1.4244939,-0.97111028,0.081948906,0.35435602,-1.031253,-0.49705851,1.5087136,-0.67312711,-1.4498703,0.21060658,0.39507332,-1.4984655,-0.75622267,0.71517366,0.25367379,-2.0184965,-0.45801759
1,1_2,1_3,2,positive,major=1|same=1,1,1,-0.91495383,0.066381782,-0.110754,-0.25155342,-0.017576642,0.24603482,0.076913781,-0.083754927,-0.05906219,-0.026405083,0.0070811473,-0.027365284,-0.0038820188,-0.18907546,0.0070362897,-0.12352415,-0.044107802,0.10937988,-0.15438494,-0.042025264,-0.13545127,0.03093691,-0.059503533,0.14957941,0.17490537,0.10890555,0.05472713,0.36281279,-0.090601258,0.14522016,-0.32084334,0.080586843,0.19610058,-0.62359184,-0.98783565,0.11539239,-0.12118202,-0.21926129,-0.2030797,0.189383,0.043519937,-0.49348995,0.52700716,-0.25613093,0.59608209,0.27959207,0.76337498,-0.52420259,0.29855901,0.71839368,-0.93395686,-0.57108212,-0.019857962,-1.610486,1.755234,1.4178563,-0.19487149,1.8697231,-0.3270722,0.038215283,0.28219816,-0.50525558,-0.24919008,-1.4985398,0.15091494,0.93718463,-0.68988585,1.4050137,-0.097643569,1.0604761,-0.51874876,1.0911412,0.81094557,1.210299,-0.46592957,-0.57633907,-0.45305154,1.0690053,-0.26338845,-0.98499507
1,1_3,1_4,2,positive,major=1|same=1,1,1,-0.83742976,0.058649972,-0.099655367,-0.19865033,-0.025462104,0.17754515,0.011612304,-0.090093456,-0.071663082,-0.017454434,0.040214486,-0.14972453,-0.015696775,-0.35217535,0.022863559,-0.10293603,-0.13766344,0.11289926,-0.26739699,-0.044005793,-0.21598285,0.050395511,-0.12286212,0.12038927,0.26452845,0.17867246,0.060850456,0.6168831,-0.044685621,0.065529086,-0.47845635,0.11448018,-1.7247287,-0.87186897,-0.55826432,0.72821003,-0.15564242,1.5884793,0.86282808,1.2701579,-0.76980788,-0.84633213,-0.10629545,0.022539072,0.78012758,-1.5237799,0.25584549,-0.03436812,0.46735072,0.70145684,-0.78622991,-0.96552396,-0.088520363,-1.7239901,1.4094038,1.4393828,-0.26470351,1.4345466,-0.26263073,0.46276161,1.1407386,-0.32134402,-0.39208943,-1.0489217,0.025639327,0.39886376,-0.69512475,1.4591807,-0.23815745,1.6664131,-0.74989194,1.0448359,0.21329303,1.133983,-0.44570842,-0.76424956,-0.22002658,0.95440245,-0.059123743,-1.2506313
1,1_4,1_5,2,positive,major=1|same=1,1,1,0.64983481,2.0127885,0.13564087,-0.30523095,-0.013119061,0.07262025,-0.11738516,-0.16980186,1.9800966,0.49007899,-0.076397493,-0.42377219,0.063704818,-0.3688218,-0.058736272,1.1095545,0.1217199,0.15747271,0.079928353,-0.14961964,-0.82515788,-0.080048375,-0.30074003,-0.06645298,0.53785372,-0.24151343,0.74849004,-0.24814862,-0.14090304,1.7096165,0.054511316,-0.018334089,-0.75843453,-0.099772245,0.3882241,-1.2289783,-0.83985132,0.054974865,0.77761608,0.46953309,-0.27286991,-0.40408564,-0.26366922,1.0904541,0.15593047,-1.2603817,-0.022065874,-0.39353085,0.68674058,0.69533443,-0.79848385,-0.66462725,0.041663758,-1.5939256,1.4068545,1.4021994,-0.40445784,1.4649312,-0.11098296,0.19860432,1.3103124,-0.54954249,-0.70546246,-0.83622491,-0.14136048,0.69522148,-0.29299393,1.6141574,-0.66911411,1.9677484,-0.95119351,1.1388479,0.020227846,1.1886666,-0.905249,-0.39780468,-0.40569341,1.05864,-0.4796465,-0.87912524
1,1_5,1_6,2,positive,major=1|same=1,1,1,0.49174118,-0.62251925,1.7915335,-0.97752887,-0.08118549,0.29063383,-0.48192444,-0.10666621,-0.56765318,2.5255642,-0.16332206,0.29284647,-0.32407451,0.40434265,-0.0011684283,0.0001684648,-0.092495725,0.11382347,-0.17584172,0.041652173,-0.93742907,0.53587121,0.1961998,-0.20782429,-0.82101345,0.2188116,1.1519464,-0.080064096,-1.2953568,-0.35710129,-0.5883401,-0.40769023,0.16968958,1.4757646,-0.89092016,-0.8746326,0.5832231,1.6278011,0.63992852,0.41613874,0.39124495,0.85553789,1.2608172,0.69030613,0.0085032294,0.48970291,-1.1844954,-0.98887235,0.090247422,0.058251049,-0.27686912,-0.68257141,0.29627463,-0.38524133,0.58686644,1.4506838,0.16738617,0.91938072,-0.033614952,0.63378739,0.3659392,-0.25753069,-0.33185872,-0.66824317,1.0172054,1.2766443,0.79091936,0.87994099,-0.60874301,1.1103456,0.40097278,0.032422263,0.9681465,1.1729372,-0.54791695,-0.85767984,-0.5260492,0.28184196,0.90825957,0.10976849
1,1_6,1_7,2,positive,major=1|same=1,1,1,-1.0306849,0.077937722,-0.12556161,-0.31086898,-0.024108933,0.37664467,0.19473834,-0.074065477,-0.034360893,-0.025283454,-0.042074896,0.11340106,0.010558491,0.046066165,-0.0091145178,-0.042273659,0.040884502,0.060843058,0.012143075,-0.045200352,0.010819324,-0.038521122,-0.023168171,-0.015726021,0.0041504661,-0.059307534,0.02019795,-0.039301828,-0.0012882133,-0.032944128,0.024063094,-0.060855474,-1.9079808,-0.5353145,-1.4364724,-0.060541067,-0.75930458,-0.20867667,-2.0504713,0.37535927,0.39582551,-1.0962892,-1.2940873,0.38123649,-0.25317767,-2.0974224,-2.2220273,0.80704129,-1.0514473,0.69684339,-1.0606098,0.28140017,-0.59034979,-0.69420069,1.3836511,1.749246,1.8593613,0.85036194,-0.82307839,1.0120261,0.99590212,1.1409227,0.78240216,-0.94820231,-0.73569363,1.1275736,1.5181408,-0.29261974,-1.0555103,1.8007846,-0.158746,0.15212137,0.39635977,0.42416382,-1.8143624,-0.088007607,0.32399985,0.91830212,-1.3738625,0.31373051
2,2_0,2_1,1,neutral,major=1|same=0,1,0,0.99325424,-0.50076956,0.55362689,3.5369074,7.5527864,3.7587717,1.1361399,-0.032541428,0.027555197,-0.15304105,-0.090016223,0.3524867,-0.0081952522,0.18935229,-0.033700198,-0.014082288,0.081866331,0.038790669,-0.0099734059,-0.051030334,-0.034627646,-0.12537949,0.031404924,-0.22546878,-0.28737894,-0.15363222,0.035236459,-0.12186191,0.12417201,-0.062238805,0.058796309,-0.13700765,-1.2060293,1.6795703,-0.81018013,-0.53046024,-0.3929655,-0.92786509,0.91511643,-0.37237331,-0.65276307,-0.49126279,-0.50184506,-0.52780449,0.55647391,-0.35160559,-0.73974985,-0.11292196,-1.3479625,0.19121261,-0.11676193,1.3698224,-2.0247285,0.20140499,2.0645311,0.85884672,-0.13862666,0.35138744,-2.0935802,0.81715459,1.1870458,-0.75389349,-0.36809415,-2.2864418,-0.41208515,1.1026963,1.6494702,0.31443498,-0.76156431,1.0110667,0.98166651,0.16605991,1.1565474,0.54229873,-0.041379452,1.0271138,0.065479428,-1.4595467,-1.2024515,0.112849
2,2_1,2_2,0,negative,major=1|same=0,1,0,-0.1139829,-0.056776002,-0.056421146,0.13539064,-0.00051457796,-0.53849095,-0.58831543,-0.10803231,-0.18331566,-0.2286694,-0.15730356,-0.5280866,0.028106969,0.1514761,0.2411606,1.4453304,0.083526857,0.07965529,0.58357668,-0.1252659,-0.92070425,-0.092995286,-0.41665956,0.051346824,0.78695184,0.6795451,0.5982734,2.0993898,-0.61937368,0.95953441,0.2669391,-0.67419887,0.040963031,0.75185102,0.41282472,-0.051168919,1.4663502,0.023942469,-0.3691048,1.2928236,2.8864329,-0.035551384,-1.4855852,-0.010879455,-0.15182601,-1.1542929,-0.56713521,0.83104438,-1.0522864,0.56312692,-0.19208494,1.6376067,-2.2352962,-0.15122615,2.4382632,0.87304717,0.092984773,0.37142316,-2.0308647,0.66511601,0.56553769,0.19831268,-0.29775068,-2.1828632,-0.55796802,0.87818062,1.7170908,0.50966376,-0.71840692,0.91041809,0.86893451,-0.37350416,0.96807748,0.56854028,-0.28050742,0.78283387,0.35112846,-1.2359254,-0.59628135,0.10714953
2,2_2,2_3,0,negative,major=1|same=1,1,1,-0.2213719,-0.089152291,0.046119671,0.52482831,1.1106651,0.37900707,-0.13911116,-0.033588734,-0.11981051,0.063432433,0.022610486,-0.31733906,0.031482387,-0.94115686,0.046919823,-0.52630973,-0.49854213,-0.50150543,-0.84887516,3.5459428,-0.51870388,-0.13170762,-0.21789387,2.173867,3.7517283,0.77117395,0.94950634,3.011086,-0.72031319,0.15595818,0.49037546,-0.15536578,-0.12624796,-0.97997844,-0.14427491,-1.3396151,-0.046720292,1.7563999,0.90974802,0.24315846,0.27806908,1.0182056,0.87364298,0.094375871,-0.051377065,0.46563372,-0.94990426,-1.6390055,0.14811525,0.21600364,-0.40227491,-0.19786426,-1.3220373,0.014373271,1.9155461,1.1062062,-0.24378562,-0.19508916,-1.7327468,-0.76811141,0.48022941,-0.40641177,0.39604506,-1.0982717,-0.23381333,-0.13398759,0.64247638,0.51009375,0.51548487,0.23501164,1.1856083,0.80176508,-1.1296517,0.82474273,0.23631655,0.48226571,0.18927972,-1.1257935,-1.0240917,0.78054178
2,2_3,2_4,0,negative,major=1|same=0,1,0,-0.44029081,-0.061272133,0.044776384,0.61815357,1.6522267,0.95962209,0.23623998,-0.069137961,-0.084283292,-0.045119945,-0.15370089,0.090921283,0.055041783,-0.3444334,-0.17370558,-0.29564083,-0.54773849,0.27628076,-0.30708852,0.0099073369,-0.28961241,0.20656653,-0.096806824,1.0072988,1.1207597,0.32502723,1.003365,1.687386,-0.78782183,-0.13539758,-0.10817703,-0.19689003,0.03137397,-0.069016263,-1.3680792,-1.4626114,-0.44470397,0.080036268,-0.57835203,0.010994436,-0.35790002,0.33406243,0.42353207,-0.39044282,0.62689441,-0.18687531,0.11390641,-2.0701089,-1.4857351,0.48915434,-0.12169707,-0.25986379,-2.793179,0.20488299,0.96247685,0.3970426,0.30477661,1.2962112,-1.4576696,-0.75705725,0.61911505,0.85148644,2.1736407,-0.61933225,-2.044801,0.68359363,0.47830164,-0.67114407,-1.8191491,0.28668597,1.0470955,0.72327429,0.80012643,0.25539151,-2.4473524,-1.1059457,1.2776301,0.31426603,0.86080903,-1.017199
2,2_4,2_5,0,negative,major=1|same=0,1,0,1.4943671,-0.62408936,-0.77687323,1.0289996,0.40090916,1.8074546,0.151657,-0.090809368,0.10762303,-0.13488553,2.1274803,1.1740781,-0.45931914,0.18369485,0.22111012,0.26617518,-0.07743784,-1.3713021,-0.13848935,-0.36914638,1.4126493,-0.4882656,-0.48723719,-0.56181431,0.50381267,0.33545616,0.2806206,0.48953304,-0.2733871,0.12378308,-0.56360388,-0.47216013,0.47356939,0.77778739,-0.65852696,0.12780786,-0.36999372,-0.32820651,0.40488246,-1.2271835,0.43498817,-0.45107186,-0.93339735,-0.60328496,-0.0034474111,0.58849829,0.18129943,-0.86385089,-1.2441573,0.71578503,-0.71284878,-0.0035255263,-2.5957623,0.4176684,1.686079,0.13243514,0.45428658,1.0688598,-2.1128626,-0.68889958,0.81042618,0.94128507,1.9113667,-1.9828843,-2.0075462,0.7595064,0.11279834,-0.55345255,-0.98664421,1.5007637,1.0674028,0.9377439,0.46062559,0.589495,-2.0536194,-0.34146681,1.0728184,-0.12386738,0.40460593,-0.90127259
2,2_5,2_6,0,negative,major=1|same=1,1,1,0.08058542,-0.16641404,0.18523665,0.81634754,1.3244286,-0.034526233,1.2712578,-0.087309621,-0.031781737,0.18272077,0.48816636,-0.64581412,1.0747949,1.0549048,0.4106206,-1.3166579,0.0062230136,0.05475409,0.051230766,-0.28661287,-0.48293158,-0.1540191,-0.14949328,0.21548547,-0.21496938,-0.026303865,0.20906107,0.081212014,0.23091501,0.098677769,0.22514986,-0.15719669,-0.0057319477,-0.20464809,1.3403343,-0.071309209,-1.0626035,0.030280108,-0.10008309,-0.19179946,-0.28214049,0.070699878,0.58447564,0.77884507,0.98656946,0.32876235,-1.1113093,-0.33310682,-0.10228385,2.0553207,-1.1410433,-1.6221864,-1.7638391,0.03873983,2.8164349,0.79722673,-0.14544502,-0.11921655,-2.5260751,-0.55091929,-0.64092982,1.5623072,0.76948839,-1.9607345,-2.3320556,-0.16966489,0.21953423,0.18872137,-0.33136439,-0.90902913,1.1890042,1.3284966,2.3406816,-0.43872231,-1.3987317,1.1380007,-0.3588706,-0.33665478,2.1573954,1.450672
2,2_6,2_7,2,positive,major=1|same=1,1,1,-0.77731717,0.049283773,-0.11291954,-0.19282705,0.0032575098,0.13320066,-0.017211584,-0.088114716,-0.082220167,-0.014718127,0.0019411815,-0.16526268,-0.00021840616,-0.29105291,-0.044989653,-0.078048825,-0.25402361,-0.028053837,-0.16592194,-0.16659495,-0.16926658,-0.0061217812,-0.010901552,0.10559351,-0.16091269,0.12989597,0.30944508,0.087911732,0.25369516,0.23206742,-0.00042771158,0.10995462,-0.43563223,-0.2849699,0.81246698,-0.53119415,-0.79531288,0.35549289,1.1148654,-0.016784953,-0.3423647,-0.56146896,1.0783957,0.21048176,1.1278684,1.3631893,-0.34295791,0.85088736,-0.89462972,1.1919447,-0.92648572,-1.0918003,-2.1434462,0.30873355,2.4190497,0.6151219,0.10817705,0.59481204,-2.0909109,0.32295328,0.58639914,0.98005342,1.7749265,-1.8615665,-2.6308219,0.76782906,0.75204176,0.25693548,-0.90801471,0.015388055,1.3378863,0.98958153,1.5345896,0.078311197,-2.0320058,0.62755221,0.25906935,-0.076739572,1.1703209,0.98564637
2,2_7,2_8,2,positive,major=1|same=1,1,1,0.39949292,-0.14520577,-0.061131828,0.40088454,-0.021277418,-1.1195337,-1.2758132,-0.16623479,-0.29723427,-0.92586982,-0.62538946,-0.59217936,0.22012402,4.1864738,-0.47514674,-2.5034747,0.066547036,5.2496877,1.0060076,0.77258474,2.444334,-0.8788234,-1.9530531,-1.639987,1.9281479,2.5353546,2.0876126,-1.8445637,5.2436204,-0.67889923,0.7767505,0.49537557,-0.092904493,-0.14206715,-0.84623426,-0.49614894,-1.9087499,-0.87922257,-0.20038144,-0.7691015,1.4047645,1.3693391,0.58607852,-0.79345375,1.679724,1.957077,-0.44402593,0.36934325,-1.6963295,0.3300288,-0.48017919,-0.38923609,-2.4985769,0.34799063,1.6229203,0.22525468,0.81148279,1.4013572,-1.877423,0.208598,1.5253712,0.4597398,2.4497023,-1.139081,-2.2691698,0.70786494,0.69488776,0.31025463,-1.5612355,1.351905,0.95655483,0.81921232,0.18931526,1.2146181,-2.7747467,-0.32179374,1.4248745,-0.14326929,-0.13343704,0.39136866
2,2_8,2_9,1,neutral,major=1|same=1,1,1,0.39949292,-0.14520577,-0.061131828,0.40088454,-0.021277418,-1.1195337,-1.2758132,-0.16623479,-0.29723427,-0.92586982,-0.62538946,-0.59217936,0.22012402,4.1864738,-0.47514674,-2.5034747,0.066547036,5.2496877,1.0060076,0.77258474,2.444334,-0.8788234,-1.9530531,-1.639987,1.9281479,2.5353546,2.0876126,-1.8445637,5.2436204,-0.67889923,0.7767505,0.49537557,0.49932152,-1.4736352,-0.53564656,-0.85234195,-0.059909254,1.7556034,0.68028432,-0.20277318,-0.77916515,1.896119,-0.1640709,0.27320394,1.1608876,2.1960609,-0.17041047,0.86074948,-1.693264,0.17634575,-0.80697298,0.086050659,-2.0582938,0.49686196,1.7281067,0.010732712,0.81534976,1.3011919,-2.7041476,0.25861144,1.2838106,0.69720179,2.5386217,-0.97683012,-1.2648197,-0.03304711,1.1426899,0.35815838,-1.2650256,2.2445309,1.4737959,1.64853,-0.14500646,1.4262129,-1.4462259,0.69343519,0.97555602,-0.70083189,-1.0679151,1.50555
