dialogue_id,source_key,target_key,y_sentiment,y_sentiment_name,t_cluster,audio_cluster,visual_cluster,fused_cluster,c_stratum,source_major,next_same_speaker
0,0_0,0_1,0,negative,0,3,3,1,major=0|same=0,0,0
0,0_1,0_2,1,neutral,0,2,2,2,major=1|same=1,1,1
1,1_0,1_1,2,positive,1,2,1,2,major=1|same=1,1,1
1,1_1,1_2,2,positive,0,3,1,2,major=1|same=1,1,1
1,1_2,1_3,2,positive,0,1,1,3,major=1|same=1,1,1
1,1_3,1_4,2,positive,0,1,1,3,major=1|same=1,1,1
1,1_4,1_5,2,positive,0,0,3,3,major=1|same=1,1,1
1,1_5,1_6,2,positive,0,2,3,3,major=1|same=1,1,1
1,1_6,1_7,2,positive,0,2,1,2,major=1|same=1,1,1
2,2_0,2_1,1,neutral,2,0,1,2,major=1|same=0,1,0
2,2_1,2_2,0,negative,0,2,1,3,major=1|same=0,1,0
2,2_2,2_3,0,negative,0,0,0,2,major=1|same=1,1,1
2,2_3,2_4,0,negative,0,2,1,2,major=1|same=0,1,0
2,2_4,2_5,0,negative,0,2,0,2,major=1|same=0,1,0
2,2_5,2_6,0,negative,1,0,0,2,major=1|same=1,1,1
2,2_6,2_7,2,positive,0,0,0,2,major=1|same=1,1,1
2,2_7,2_8,2,positive,1,0,1,2,major=1|same=1,1,1
2,2_8,2_9,1,neutral,1,0,1,2,major=1|same=1,1,1
2,2_9,2_10,1,neutral,2,2,1,2,major=1|same=1,1,1
3,3_0,3_1,0,negative,1,3,2,2,major=0|same=0,0,0
3,3_1,3_2,1,neutral,1,1,3,2,major=1|same=0,1,0
3,3_2,3_3,1,neutral,0,1,2,2,major=0|same=0,0,0
3,3_3,3_4,0,negative,0,3,3,1,major=1|same=0,1,0
3,3_4,3_5,0,negative,0,2,2,1,major=0|same=0,0,0
3,3_5,3_6,1,neutral,0,0,3,1,major=1|same=0,1,0
4,4_0,4_1,1,neutral,0,2,1,0,major=1|same=0,1,0
4,4_1,4_2,2,positive,0,3,1,2,major=1|same=0,1,0
4,4_2,4_3,2,positive,1,3,3,3,major=1|same=0,1,0
4,4_3,4_4,1,neutral,0,0,3,1,major=1|same=0,1,0
4,4_4,4_5,0,negative,0,0,3,1,major=1|same=0,1,0
4,4_5,4_6,0,negative,0,0,3,1,major=1|same=0,1,0
4,4_6,4_7,0,negative,0,0,3,3,major=1|same=0,1,0
4,4_7,4_8,1,neutral,0,0,2,3,major=1|same=1,1,1
5,5_0,5_1,1,neutral,0,1,3,3,major=1|same=1,1,1
5,5_1,5_2,1,neutral,0,0,1,3,major=1|same=0,1,0
5,5_2,5_3,1,neutral,0,2,1,3,major=0|same=0,0,0
5,5_3,5_4,1,neutral,0,2,3,3,major=1|same=0,1,0
5,5_4,5_5,1,neutral,0,2,3,3,major=0|same=0,0,0
5,5_5,5_6,1,neutral,0,3,3,2,major=1|same=0,1,0
5,5_6,5_7,1,neutral,0,3,1,2,major=0|same=0,0,0
5,5_7,5_8,1,neutral,0,3,1,2,major=1|same=0,1,0
6,6_0,6_1,1,neutral,0,3,1,1,major=1|same=0,1,0
6,6_1,6_2,0,negative,1,3,0,1,major=1|same=0,1,0
7,7_0,7_1,1,neutral,0,3,3,1,major=1|same=0,1,0
7,7_1,7_2,1,neutral,0,2,3,3,major=1|same=0,1,0
7,7_2,7_3,1,neutral,1,0,3,2,major=1|same=0,1,0
7,7_3,7_4,0,negative,1,3,2,1,major=1|same=0,1,0
7,7_4,7_5,1,neutral,0,1,0,2,major=1|same=0,1,0
7,7_5,7_6,0,negative,0,3,0,1,major=1|same=0,1,0
7,7_6,7_7,1,neutral,0,0,3,1,major=1|same=0,1,0
7,7_7,7_8,1,neutral,0,0,0,1,major=1|same=0,1,0
8,8_0,8_1,2,positive,0,1,1,1,major=0|same=0,0,0
8,8_1,8_2,1,neutral,0,3,1,1,major=1|same=0,1,0
8,8_2,8_3,0,negative,1,2,1,1,major=0|same=0,0,0
8,8_3,8_4,1,neutral,0,3,1,1,major=1|same=0,1,0
8,8_4,8_5,1,neutral,0,1,1,0,major=1|same=1,1,1
8,8_5,8_6,2,positive,0,3,1,1,major=1|same=0,1,0
9,9_0,9_1,1,neutral,0,0,2,3,major=1|same=0,1,0
9,9_1,9_2,0,negative,1,1,1,0,major=1|same=0,1,0
9,9_2,9_3,0,negative,0,3,2,3,major=0|same=0,0,0
9,9_3,9_4,0,negative,0,2,1,0,major=1|same=0,1,0
9,9_4,9_5,1,neutral,0,2,1,0,major=1|same=0,1,0
9,9_5,9_6,2,positive,0,0,2,1,major=1|same=0,1,0
9,9_6,9_7,0,negative,0,0,3,1,major=0|same=0,0,0
9,9_7,9_8,0,negative,0,0,3,1,major=1|same=0,1,0
9,9_8,9_9,0,negative,1,3,3,3,major=1|same=0,1,0
9,9_9,9_10,1,neutral,1,3,3,3,major=1|same=0,1,0
9,9_10,9_11,0,negative,0,3,3,3,major=1|same=0,1,0
9,9_11,9_12,1,neutral,0,3,3,3,major=1|same=0,1,0
9,9_12,9_13,0,negative,0,0,1,0,major=1|same=0,1,0
9,9_13,9_14,1,neutral,0,3,3,3,major=1|same=0,1,0
9,9_14,9_15,2,positive,0,3,3,3,major=0|same=0,0,0
9,9_15,9_16,1,neutral,0,2,1,1,major=1|same=0,1,0
9,9_16,9_17,1,neutral,0,3,3,3,major=1|same=0,1,0
10,10_0,10_1,1,neutral,0,2,3,1,major=1|same=1,1,1
10,10_1,10_2,1,neutral,0,1,3,1,major=1|same=1,1,1
10,10_2,10_3,1,neutral,0,3,3,1,major=1|same=0,1,0
11,11_0,11_1,0,negative,0,3,2,2,major=1|same=1,1,1
11,11_1,11_2,1,neutral,1,0,1,2,major=1|same=1,1,1
11,11_2,11_3,1,neutral,0,3,0,3,major=1|same=0,1,0
11,11_3,11_4,1,neutral,0,3,0,3,major=1|same=0,1,0
12,12_0,12_1,1,neutral,0,1,3,1,major=1|same=0,1,0
12,12_1,12_2,0,negative,0,3,3,1,major=1|same=0,1,0
12,12_2,12_3,0,negative,0,1,3,1,major=1|same=1,1,1
12,12_3,12_4,0,negative,0,0,2,1,major=1|same=0,1,0
12,12_4,12_5,0,negative,0,3,2,1,major=1|same=0,1,0
12,12_5,12_6,0,negative,2,1,1,0,major=1|same=1,1,1
12,12_6,12_7,0,negative,0,2,2,1,major=1|same=1,1,1
12,12_7,12_8,2,positive,0,0,2,1,major=1|same=1,1,1
12,12_8,12_9,1,neutral,0,2,2,1,major=1|same=1,1,1
12,12_9,12_10,1,neutral,0,1,2,1,major=1|same=0,1,0
12,12_10,12_11,2,positive,0,3,2,0,major=1|same=0,1,0
12,12_11,12_12,2,positive,0,3,2,1,major=1|same=0,1,0
12,12_12,12_13,1,neutral,0,3,2,1,major=1|same=0,1,0
12,12_13,12_14,1,neutral,1,0,2,1,major=1|same=0,1,0
12,12_14,12_15,1,neutral,0,0,2,0,major=1|same=0,1,0
12,12_15,12_16,1,neutral,0,1,2,0,major=1|same=0,1,0
12,12_16,12_17,1,neutral,0,1,2,2,major=1|same=0,1,0
12,12_17,12_18,1,neutral,0,0,2,1,major=1|same=0,1,0
12,12_18,12_19,2,positive,0,2,2,2,major=1|same=0,1,0
13,13_0,13_1,1,neutral,0,2,3,3,major=0|same=0,0,0
